object,correct_location,predicted_location,location_choices,correct_prediction
footstool,bathroom,dining room,"['bathroom', 'cellar', 'basement', 'storage room', 'dining room']",False
fork,kitchen,kitchen,"['house', 'box', 'basement', 'house', 'kitchen']",True
fridge,kitchen,kitchen,"['bathroom', 'basement', 'kitchen', 'home office', 'basement']",True
fruit snack,utility room,jar,"['can', 'cellar', 'family room', 'jar', 'utility room']",False
furnace,basement,basement,"['box', 'bathroom', 'jar', 'living room', 'basement']",True
garbage,dumpster,dumpster,"['dumpster', 'box', 'basement', 'living room', 'can']",True
garbagebag,kitchen,dumpster,"['dining room', 'attic', 'utility room', 'dumpster', 'kitchen']",False
garbagecan,kitchen,kitchen,"['room', 'garage', 'room', 'exercise room', 'kitchen']",True
gelatin box,closet,none,"['house', 'freezer', 'dumpster', 'closet', 'bar']",False
glove,childs room,childs room,"['childs room', 'jar', 'dumpster', 'attic', 'attic']",True
golf ball,living room,family room,"['freezer', 'living room', 'oven', 'family room', 'trap']",False
graphics card,living room,house,"['cellar', 'living room', 'house', 'oven', 'family room']",False
hair color,playroom,box,"['trap', 'box', 'cellar', 'playroom', 'freezer']",False
hair conditioner,dining room,none,"['cellar', 'house', 'dumpster', 'attic', 'dining room']",False
hair dryer,bathroom,bathroom,"['bathroom', 'family room', 'trap', 'can', 'family room']",True
hair straightener,exercise room,none,"['can', 'box', 'basement', 'oven', 'exercise room']",False
hammer,home office,home office,"['dumpster', 'home office', 'cellar', 'family room', 'oven']",True
hand bell,dining room,dining room,"['can', 'cellar', 'dining room', 'room', 'trap']",True
handbag,exercise room,family room,"['box', 'family room', 'attic', 'jar', 'exercise room']",False
handtowel,bathroom,bathroom,"['bar', 'house', 'can', 'bathroom', 'utility room']",True
handtowelholder,bathroom,bathroom,"['dumpster', 'childs room', 'living room', 'bathroom', 'trap']",True
hard drive,bedroom,bedroom,"['can', 'jar', 'bedroom', 'bar', 'freezer']",True
hard drive case,living room,living room,"['trap', 'freezer', 'dumpster', 'jar', 'living room']",True
hat,closet,closet,"['closet', 'room', 'house', 'trap', 'room']",True
headphone,playroom,box,"['jar', 'playroom', 'box', 'basement', 'can']",False
heavy duty gloves,lobby,room,"['room', 'can', 'can', 'lobby', 'dumpster']",False
heavy master chef can,corridor,can,"['corridor', 'attic', 'house', 'can', 'house']",False
helmet,childs room,childs room,"['childs room', 'dumpster', 'cellar', 'family room', 'room']",True
herring fillets,bedroom,can,"['can', 'can', 'room', 'bedroom', 'basement']",False
honey dipper,bedroom,bar,"['trap', 'bedroom', 'oven', 'cellar', 'bar']",False
houseplant,living room,living room,"['living room', 'house', 'lobby', 'pantry room', 'corridor']",True
incontinence pads,garage,room,"['dumpster', 'oven', 'room', 'garage', 'can']",False
ink cartridge,childs room,house,"['oven', 'childs room', 'dumpster', 'oven', 'house']",False
instant camera,television room,family room,"['basement', 'trap', 'television room', 'family room', 'trap']",False
invitation card,lobby,family room,"['cellar', 'lobby', 'family room', 'jar', 'box']",False
jar,closet,closet,"['oven', 'jar', 'freezer', 'closet', 'cellar']",True
jenga,playroom,playroom,"['room', 'playroom', 'house', 'room', 'cellar']",True
jewelry box,exercise room,box,"['box', 'freezer', 'attic', 'exercise room', 'can']",False
kettle,kitchen,kitchen,"['house', 'attic', 'corridor', 'home office', 'kitchen']",True
keyboard,home office,home office,"['family room', 'home office', 'can', 'can', 'room']",True
keychain,living room,garage,"['house', 'exercise room', 'television room', 'garage', 'living room']",False
knife,kitchen,kitchen,"['bar', 'oven', 'can', 'dumpster', 'kitchen']",True
knife block,bedroom,basement,"['family room', 'bedroom', 'oven', 'cellar', 'basement']",False
labeling tape,bedroom,family room,"['cellar', 'oven', 'can', 'family room', 'bedroom']",False
ladle,kitchen,kitchen,"['garage', 'home office', 'kitchen', 'dining room', 'jar']",True
lamp,bedroom,bedroom,"['bar', 'bedroom', 'cellar', 'basement', 'attic']",True
lantern,bathroom,house,"['house', 'jar', 'house', 'can', 'bathroom']",False
laptop,bedroom,bedroom,"['bedroom', 'trap', 'attic', 'jar', 'jar']",True
laptop cover,childs room,box,"['oven', 'cellar', 'box', 'childs room', 'dumpster']",False
laptop stand,childs room,childs room,"['trap', 'trap', 'trap', 'freezer', 'childs room']",True
large marker,dining room,box,"['box', 'trap', 'can', 'dining room', 'bar']",False
laundry box,home office,house,"['home office', 'house', 'jar', 'house', 'box']",False
laundryhamper,bedroom,bedroom,"['bedroom', 'exercise room', 'attic', 'garage', 'kitchen']",True
laxative,dining room,box,"['box', 'box', 'can', 'dining room', 'trap']",False
lego duplo,dining room,house,"['can', 'bar', 'house', 'dining room', 'cellar']",False
lemon,exercise room,bar,"['bar', 'family room', 'room', 'bar', 'exercise room']",False
letter holder,storage room,box,"['storage room', 'basement', 'oven', 'box', 'cellar']",False
lettuce,kitchen,kitchen,"['can', 'kitchen', 'lobby', 'basement', 'oven']",True
light bulb,bedroom,basement,"['freezer', 'trap', 'can', 'basement', 'bedroom']",False
lightswitch,living room,home office,"['dining room', 'home office', 'family room', 'living room', 'garage']",False
lime squeezer,storage room,storage room,"['storage room', 'jar', 'attic', 'oven', 'trap']",True
lipstick,home office,home office,"['house', 'bar', 'attic', 'trap', 'home office']",True
lunch bag,storage room,storage room,"['bar', 'storage room', 'bar', 'oven', 'jar']",True
lunch box,dining room,dining room,"['can', 'basement', 'jar', 'dining room', 'cellar']",True
magnifying glass,utility room,room,"['room', 'utility room', 'room', 'family room', 'room']",False
mascara,lobby,room,"['room', 'bar', 'trap', 'lobby', 'dumpster']",False
master chef can,television room,freezer,"['attic', 'television room', 'attic', 'freezer', 'room']",False
measuring tape,playroom,basement,"['cellar', 'basement', 'trap', 'jar', 'playroom']",False
medicine,home office,home office,"['trap', 'jar', 'home office', 'dumpster', 'family room']",True
microwave,kitchen,kitchen,"['exercise room', 'oven', 'kitchen', 'bedroom', 'family room']",True
milk fror,kitchen,kitchen,"['family room', 'freezer', 'can', 'dumpster', 'kitchen']",True
mini soccer ball,garage,garage,"['jar', 'box', 'garage', 'basement', 'dumpster']",True
mirror,living room,family room,"['oven', 'living room', 'basement', 'family room', 'cellar']",False
morboard,closet,closet,"['family room', 'house', 'oven', 'attic', 'closet']",True
mouse,living room,jar,"['jar', 'jar', 'living room', 'freezer', 'room']",False
mouse pad,living room,family room,"['trap', 'living room', 'basement', 'family room', 'trap']",False
movie dvd,playroom,bar,"['playroom', 'jar', 'oven', 'bar', 'oven']",False
mug,kitchen,kitchen,"['basement', 'cellar', 'house', 'kitchen', 'room']",True
multiport hub,corridor,room,"['house', 'room', 'dumpster', 'dumpster', 'corridor']",False
mustard bottle,lobby,bar,"['bar', 'lobby', 'cellar', 'oven', 'bar']",False
neck rest,living room,box,"['box', 'living room', 'can', 'house', 'oven']",False
newspaper,living room,home office,"['basement', 'dining room', 'home office', 'box', 'living room']",False
nine hole peg test,bedroom,box,"['bedroom', 'bar', 'dumpster', 'box', 'family room']",False
nintendo switch,television room,room,"['house', 'room', 'trap', 'jar', 'television room']",False
orange,pantry room,pantry room,"['can', 'pantry room', 'oven', 'room', 'family room']",True
ottoman,living room,living room,"['bedroom', 'living room', 'exercise room', 'bar', 'childs room']",True
padlock,lobby,bar,"['cellar', 'jar', 'lobby', 'cellar', 'bar']",False
paint bottle set,playroom,basement,"['jar', 'freezer', 'playroom', 'basement', 'room']",False
paint maker,utility room,utility room,"['basement', 'cellar', 'basement', 'family room', 'utility room']",True
painting,living room,living room,"['closet', 'bar', 'living room', 'exercise room', 'dumpster']",True
pan,kitchen,kitchen,"['room', 'room', 'jar', 'kitchen', 'house']",True
paper bag,garage,garage,"['oven', 'box', 'family room', 'garage', 'house']",True
papertowelroll,bathroom,bathroom,"['jar', 'bathroom', 'utility room', 'closet', 'pantry room']",True
parchment sheet,dining room,room,"['attic', 'room', 'oven', 'freezer', 'dining room']",False
peach,television room,jar,"['jar', 'family room', 'trap', 'room', 'television room']",False
pear,utility room,house,"['oven', 'oven', 'house', 'utility room', 'family room']",False
peg and hammer toy,playroom,playroom,"['playroom', 'can', 'jar', 'freezer', 'freezer']",True
pen,bedroom,bedroom,"['box', 'house', 'bedroom', 'cellar', 'exercise room']",True
pencil,bedroom,bedroom,"['childs room', 'bathroom', 'room', 'bedroom', 'can']",True
pencil case,television room,box,"['jar', 'box', 'can', 'television room', 'dumpster']",False
peppermint,pantry room,pantry room,"['oven', 'jar', 'freezer', 'box', 'pantry room']",True
peppershaker,kitchen,kitchen,"['kitchen', 'living room', 'family room', 'room', 'childs room']",True
pepsi can pack,garage,dumpster,"['freezer', 'jar', 'dumpster', 'garage', 'family room']",False
pet food supplement,pantry room,pantry room,"['pantry room', 'jar', 'family room', 'cellar', 'cellar']",True
phillips screwdriver,exercise room,none,"['room', 'can', 'family room', 'exercise room', 'room']",False
phone armband case,pantry room,room,"['basement', 'pantry room', 'dumpster', 'freezer', 'room']",False
phone stand,home office,home office,"['family room', 'home office', 'room', 'freezer', 'cellar']",True
picture frame,utility room,bar,"['cellar', 'bar', 'utility room', 'freezer', 'dumpster']",False
pie,oven,dining room,"['living room', 'storage room', 'dining room', 'oven', 'bedroom']",False
pillow,bedroom,bedroom,"['bedroom', 'attic', 'box', 'bar', 'house']",True
pitcher base,home office,bar,"['cellar', 'home office', 'jar', 'house', 'bar']",False
plant,living room,living room,"['can', 'freezer', 'living room', 'oven', 'cellar']",True
plant container,garage,family room,"['bar', 'family room', 'house', 'garage', 'attic']",False
plant saucer,living room,living room,"['dumpster', 'box', 'freezer', 'living room', 'dumpster']",True
plate,living room,bar,"['family room', 'box', 'oven', 'living room', 'bar']",False
plum,pantry room,pantry room,"['trap', 'cellar', 'box', 'cellar', 'pantry room']",True
plunger,bathroom,bathroom,"['basement', 'bathroom', 'house', 'dining room', 'trap']",True
portable speaker,playroom,house,"['attic', 'playroom', 'oven', 'house', 'oven']",False
poster,bedroom,family room,"['bedroom', 'dining room', 'corridor', 'freezer', 'family room']",False
pot,kitchen,kitchen,"['storage room', 'room', 'freezer', 'kitchen', 'bathroom']",True
potato,kitchen,kitchen,"['living room', 'kitchen', 'playroom', 'childs room', 'exercise room']",True
potted meat can,corridor,can,"['freezer', 'box', 'jar', 'can', 'corridor']",False
power drill,kitchen,kitchen,"['room', 'can', 'kitchen', 'house', 'jar']",True
pressure cooker,home office,home office,"['can', 'trap', 'home office', 'dumpster', 'family room']",True
pudding box,utility room,box,"['attic', 'utility room', 'freezer', 'box', 'oven']",False
puzzle game,utility room,utility room,"['freezer', 'freezer', 'utility room', 'jar', 'dumpster']",True
racquetball,playroom,playroom,"['freezer', 'family room', 'playroom', 'house', 'basement']",True
ramekin,playroom,bar,"['can', 'playroom', 'bar', 'trap', 'cellar']",False
remote control,exercise room,family room,"['bar', 'jar', 'jar', 'family room', 'exercise room']",False
remotecontrol,bedroom,family room,"['dining room', 'bedroom', 'basement', 'childs room', 'family room']",False
rmal laminator,living room,bar,"['can', 'can', 'bar', 'freezer', 'living room']",False
roast,oven,oven,"['childs room', 'trap', 'oven', 'bathroom', 'closet']",True
roomdecor,living room,living room,"['pantry room', 'cellar', 'dumpster', 'box', 'living room']",True
router,bedroom,family room,"['dumpster', 'bedroom', 'house', 'basement', 'family room']",False
rubiks cube,home office,home office,"['basement', 'cellar', 'home office', 'can', 'bar']",True
safe,living room,attic,"['box', 'attic', 'attic', 'jar', 'living room']",False
salt shaker,bathroom,none,"['box', 'family room', 'dumpster', 'bathroom', 'trap']",False
saltshaker,kitchen,kitchen,"['freezer', 'house', 'lobby', 'dining room', 'kitchen']",True
sanitary pads,bedroom,bedroom,"['trap', 'bedroom', 'trap', 'can', 'jar']",True
saucer,kitchen,kitchen,"['kitchen', 'dumpster', 'oven', 'dumpster', 'freezer']",True
saute pan,kitchen,kitchen,"['room', 'dumpster', 'box', 'freezer', 'kitchen']",True
scissors,exercise room,house,"['cellar', 'dumpster', 'house', 'exercise room', 'freezer']",False
scrubbrush,bathroom,bathroom,"['storage room', 'basement', 'room', 'bathroom', 'television room']",True
set-top box,bathroom,house,"['trap', 'house', 'bathroom', 'trap', 'oven']",False
shelf,bedroom,bedroom,"['trap', 'basement', 'bedroom', 'television room', 'basement']",True
shelvingunit,bedroom,bedroom,"['television room', 'bar', 'playroom', 'attic', 'bedroom']",True
shoe,closet,closet,"['oven', 'closet', 'cellar', 'bar', 'cellar']",True
shoe box,corridor,corridor,"['corridor', 'can', 'freezer', 'oven', 'bar']",True
showercurtain,bathroom,bathroom,"['bathroom', 'cellar', 'storage room', 'room', 'pantry room']",True
showerdoor,bathroom,bathroom,"['kitchen', 'television room', 'corridor', 'kitchen', 'bathroom']",True
showerglass,bathroom,bathroom,"['dining room', 'attic', 'dining room', 'basement', 'bathroom']",True
showerhead,bathroom,bathroom,"['dining room', 'cellar', 'bar', 'exercise room', 'bathroom']",True
shredder,pantry room,room,"['pantry room', 'room', 'freezer', 'can', 'trap']",False
sidetable,living room,living room,"['family room', 'corridor', 'oven', 'living room', 'closet']",True
sidewalk chalk,living room,family room,"['oven', 'can', 'living room', 'dumpster', 'family room']",False
sink,kitchen,kitchen,"['attic', 'kitchen', 'childs room', 'television room', 'closet']",True
sinkbasin,bathroom,bathroom,"['garage', 'family room', 'freezer', 'lobby', 'bathroom']",True
skillet,exercise room,box,"['trap', 'trap', 'box', 'house', 'exercise room']",False
skillet lid,closet,can,"['closet', 'box', 'attic', 'room', 'can']",False
skin care product,corridor,none,"['bar', 'freezer', 'cellar', 'corridor', 'trap']",False
skin moisturizer,bathroom,bathroom,"['attic', 'house', 'box', 'bathroom', 'house']",True
snack cake,lobby,box,"['lobby', 'oven', 'room', 'box', 'trap']",False
snack dispenser,utility room,house,"['utility room', 'house', 'basement', 'trap', 'freezer']",False
soap dish,childs room,none,"['house', 'childs room', 'can', 'box', 'basement']",False
soap dispenser,kitchen,kitchen,"['attic', 'kitchen', 'trap', 'cellar', 'box']",True
soapbar,bathroom,bathroom,"['bathroom', 'television room', 'dining room', 'closet', 'closet']",True
soapbottle,bathroom,bathroom,"['basement', 'pantry room', 'bathroom', 'freezer', 'childs room']",True
sofa,living room,living room,"['bathroom', 'living room', 'basement', 'utility room', 'basement']",True
softball,bedroom,family room,"['freezer', 'family room', 'freezer', 'oven', 'bedroom']",False
software cd,dining room,attic,"['dining room', 'jar', 'bar', 'attic', 'bar']",False
sorting toy,playroom,playroom,"['house', 'dumpster', 'bar', 'playroom', 'freezer']",True
sparkling water,garage,none,"['garage', 'jar', 'cellar', 'jar', 'freezer']",False
spatula,kitchen,kitchen,"['house', 'house', 'kitchen', 'cellar', 'family room']",True
spider,cellar,cellar,"['pantry room', 'television room', 'bedroom', 'cellar', 'bedroom']",True
sponge,utility room,utility room,"['attic', 'basement', 'utility room', 'family room', 'box']",True
sponge dish,pantry room,pantry room,"['basement', 'bar', 'trap', 'can', 'pantry room']",True
spoon,kitchen,kitchen,"['bar', 'can', 'attic', 'room', 'kitchen']",True
spoon rest,bathroom,none,"['bathroom', 'family room', 'attic', 'dumpster', 'oven']",False
spraybottle,bathroom,bathroom,"['dumpster', 'jar', 'freezer', 'bathroom', 'jar']",True
stacking cups,closet,room,"['family room', 'closet', 'basement', 'trap', 'room']",False
stand mixer,pantry room,pantry room,"['attic', 'family room', 'bar', 'bar', 'pantry room']",True
statue,kitchen,dining room,"['can', 'dining room', 'kitchen', 'can', 'house']",False
steak,freezer,freezer,"['family room', 'childs room', 'television room', 'exercise room', 'freezer']",True
stool,kitchen,childs room,"['corridor', 'house', 'childs room', 'kitchen', 'trap']",False
storage bin,closet,closet,"['closet', 'trap', 'cellar', 'basement', 'basement']",True
stoveburner,kitchen,kitchen,"['closet', 'box', 'kitchen', 'freezer', 'bar']",True
stoveknob,kitchen,kitchen,"['pantry room', 'pantry room', 'bathroom', 'kitchen', 'garage']",True
strawberry,storage room,freezer,"['can', 'storage room', 'oven', 'freezer', 'freezer']",False
string lights,bedroom,bedroom,"['oven', 'freezer', 'dumpster', 'dumpster', 'bedroom']",True
stuffed toy,kitchen,family room,"['family room', 'house', 'cellar', 'kitchen', 'house']",False
sugar box,utility room,none,"['freezer', 'utility room', 'room', 'family room', 'basement']",False
sugar sprinkles,dining room,room,"['bar', 'family room', 'room', 'oven', 'dining room']",False
surface saver ring,exercise room,bar,"['bar', 'basement', 'exercise room', 'oven', 'trap']",False
sushi mat,exercise room,room,"['attic', 'jar', 'trap', 'exercise room', 'room']",False
table,bedroom,home office,"['playroom', 'jar', 'pantry room', 'bedroom', 'home office']",False
table lamp,dining room,dining room,"['jar', 'attic', 'box', 'dining room', 'dumpster']",True
tablet,pantry room,box,"['box', 'pantry room', 'house', 'freezer', 'freezer']",False
tablet holder,dining room,dining room,"['dining room', 'house', 'can', 'jar', 'jar']",True
tablet stand,playroom,playroom,"['dumpster', 'freezer', 'jar', 'playroom', 'freezer']",True
tabletopdecor,bedroom,bedroom,"['bar', 'dumpster', 'exercise room', 'exercise room', 'bedroom']",True
tampon,childs room,none,"['attic', 'can', 'can', 'childs room', 'house']",False
tea can pack,kitchen,kitchen,"['attic', 'basement', 'kitchen', 'house', 'box']",True
