Object,Correct_Location,Wrong_Locations
garbagecan,kitchen,"['room', 'room', 'exercise room', 'garage']"
gelatin box,closet,"['bar', 'dumpster', 'freezer', 'house']"
glove,childs room,"['attic', 'jar', 'attic', 'dumpster']"
golf ball,living room,"['freezer', 'trap', 'family room', 'oven']"
graphics card,living room,"['family room', 'house', 'cellar', 'oven']"
hair color,playroom,"['cellar', 'freezer', 'trap', 'box']"
hair conditioner,dining room,"['cellar', 'house', 'dumpster', 'attic']"
hair dryer,bathroom,"['family room', 'family room', 'trap', 'can']"
hair straightener,exercise room,"['oven', 'box', 'basement', 'can']"
hammer,home office,"['oven', 'dumpster', 'family room', 'cellar']"
hand bell,dining room,"['trap', 'can', 'cellar', 'room']"
handbag,exercise room,"['family room', 'jar', 'attic', 'box']"
handtowel,bathroom,"['can', 'utility room', 'house', 'bar']"
handtowelholder,bathroom,"['living room', 'dumpster', 'childs room', 'trap']"
hard drive,bedroom,"['bar', 'can', 'jar', 'freezer']"
hard drive case,living room,"['trap', 'jar', 'freezer', 'dumpster']"
hat,closet,"['room', 'trap', 'house', 'room']"
headphone,playroom,"['can', 'basement', 'jar', 'box']"
heavy duty gloves,lobby,"['room', 'can', 'can', 'dumpster']"
heavy master chef can,corridor,"['house', 'attic', 'house', 'can']"
helmet,childs room,"['cellar', 'family room', 'room', 'dumpster']"
herring fillets,bedroom,"['can', 'can', 'room', 'basement']"
honey dipper,bedroom,"['oven', 'cellar', 'bar', 'trap']"
houseplant,living room,"['lobby', 'house', 'corridor', 'pantry room']"
incontinence pads,garage,"['can', 'room', 'oven', 'dumpster']"
ink cartridge,childs room,"['oven', 'oven', 'house', 'dumpster']"
instant camera,television room,"['basement', 'family room', 'trap', 'trap']"
invitation card,lobby,"['family room', 'cellar', 'jar', 'box']"
jar,closet,"['jar', 'freezer', 'oven', 'cellar']"
jenga,playroom,"['room', 'house', 'room', 'cellar']"
jewelry box,exercise room,"['box', 'can', 'freezer', 'attic']"
kettle,kitchen,"['house', 'home office', 'corridor', 'attic']"
keyboard,home office,"['can', 'room', 'family room', 'can']"
keychain,living room,"['exercise room', 'house', 'television room', 'garage']"
knife,kitchen,"['can', 'bar', 'oven', 'dumpster']"
knife block,bedroom,"['cellar', 'basement', 'oven', 'family room']"
labeling tape,bedroom,"['can', 'family room', 'oven', 'cellar']"
ladle,kitchen,"['home office', 'jar', 'garage', 'dining room']"
lamp,bedroom,"['cellar', 'basement', 'attic', 'bar']"
lantern,bathroom,"['can', 'house', 'jar', 'house']"
laptop,bedroom,"['jar', 'jar', 'attic', 'trap']"
laptop cover,childs room,"['cellar', 'oven', 'dumpster', 'box']"
laptop stand,childs room,"['trap', 'trap', 'trap', 'freezer']"
large marker,dining room,"['trap', 'can', 'box', 'bar']"
laundry box,home office,"['house', 'jar', 'box', 'house']"
laundryhamper,bedroom,"['attic', 'exercise room', 'garage', 'kitchen']"
laxative,dining room,"['box', 'can', 'trap', 'box']"
lego duplo,dining room,"['cellar', 'house', 'can', 'bar']"
lemon,exercise room,"['family room', 'bar', 'bar', 'room']"
letter holder,storage room,"['box', 'oven', 'cellar', 'basement']"
lettuce,kitchen,"['lobby', 'basement', 'can', 'oven']"
light bulb,bedroom,"['basement', 'trap', 'freezer', 'can']"
lightswitch,living room,"['family room', 'garage', 'home office', 'dining room']"
lime squeezer,storage room,"['oven', 'jar', 'trap', 'attic']"
lipstick,home office,"['attic', 'house', 'bar', 'trap']"
lunch bag,storage room,"['oven', 'bar', 'bar', 'jar']"
lunch box,dining room,"['can', 'jar', 'cellar', 'basement']"
magnifying glass,utility room,"['room', 'room', 'room', 'family room']"
mascara,lobby,"['trap', 'bar', 'room', 'dumpster']"
master chef can,television room,"['freezer', 'room', 'attic', 'attic']"
measuring tape,playroom,"['basement', 'cellar', 'trap', 'jar']"
medicine,home office,"['dumpster', 'trap', 'jar', 'family room']"
microwave,kitchen,"['bedroom', 'exercise room', 'family room', 'oven']"
milk fror,kitchen,"['family room', 'freezer', 'dumpster', 'can']"
mini soccer ball,garage,"['jar', 'box', 'dumpster', 'basement']"
mirror,living room,"['family room', 'basement', 'oven', 'cellar']"
morboard,closet,"['house', 'oven', 'attic', 'family room']"
mouse,living room,"['room', 'freezer', 'jar', 'jar']"
mouse pad,living room,"['trap', 'family room', 'trap', 'basement']"
movie dvd,playroom,"['bar', 'jar', 'oven', 'oven']"
mug,kitchen,"['house', 'room', 'cellar', 'basement']"
multiport hub,corridor,"['dumpster', 'room', 'house', 'dumpster']"
mustard bottle,lobby,"['cellar', 'bar', 'oven', 'bar']"
neck rest,living room,"['oven', 'box', 'house', 'can']"
newspaper,living room,"['box', 'basement', 'home office', 'dining room']"
nine hole peg test,bedroom,"['box', 'family room', 'bar', 'dumpster']"
nintendo switch,television room,"['jar', 'room', 'trap', 'house']"
orange,pantry room,"['can', 'family room', 'room', 'oven']"
ottoman,living room,"['exercise room', 'bar', 'childs room', 'bedroom']"
padlock,lobby,"['bar', 'cellar', 'jar', 'cellar']"
paint bottle set,playroom,"['basement', 'freezer', 'jar', 'room']"
paint maker,utility room,"['basement', 'cellar', 'family room', 'basement']"
painting,living room,"['closet', 'bar', 'dumpster', 'exercise room']"
pan,kitchen,"['room', 'house', 'room', 'jar']"
paper bag,garage,"['family room', 'house', 'oven', 'box']"
papertowelroll,bathroom,"['pantry room', 'closet', 'utility room', 'jar']"
parchment sheet,dining room,"['oven', 'room', 'freezer', 'attic']"
peach,television room,"['family room', 'trap', 'jar', 'room']"
pear,utility room,"['oven', 'oven', 'house', 'family room']"
peg and hammer toy,playroom,"['freezer', 'freezer', 'can', 'jar']"
pen,bedroom,"['exercise room', 'cellar', 'box', 'house']"
pencil,bedroom,"['childs room', 'room', 'bathroom', 'can']"
pencil case,television room,"['box', 'jar', 'dumpster', 'can']"
peppermint,pantry room,"['freezer', 'jar', 'box', 'oven']"
peppershaker,kitchen,"['family room', 'living room', 'room', 'childs room']"
pepsi can pack,garage,"['dumpster', 'jar', 'family room', 'freezer']"
pet food supplement,pantry room,"['jar', 'cellar', 'family room', 'cellar']"
phillips screwdriver,exercise room,"['can', 'family room', 'room', 'room']"
phone armband case,pantry room,"['dumpster', 'room', 'freezer', 'basement']"
phone stand,home office,"['freezer', 'cellar', 'room', 'family room']"
picture frame,utility room,"['dumpster', 'freezer', 'cellar', 'bar']"
pie,oven,"['bedroom', 'living room', 'dining room', 'storage room']"
pillow,bedroom,"['attic', 'box', 'bar', 'house']"
pitcher base,home office,"['jar', 'house', 'bar', 'cellar']"
plant,living room,"['cellar', 'oven', 'freezer', 'can']"
plant container,garage,"['house', 'family room', 'attic', 'bar']"
plant saucer,living room,"['dumpster', 'box', 'dumpster', 'freezer']"
plate,living room,"['family room', 'oven', 'bar', 'box']"
plum,pantry room,"['box', 'trap', 'cellar', 'cellar']"
plunger,bathroom,"['basement', 'trap', 'house', 'dining room']"
portable speaker,playroom,"['oven', 'oven', 'house', 'attic']"
poster,bedroom,"['family room', 'corridor', 'dining room', 'freezer']"
pot,kitchen,"['freezer', 'bathroom', 'room', 'storage room']"
potato,kitchen,"['living room', 'childs room', 'playroom', 'exercise room']"
potted meat can,corridor,"['freezer', 'jar', 'box', 'can']"
power drill,kitchen,"['room', 'jar', 'house', 'can']"
pressure cooker,home office,"['trap', 'can', 'family room', 'dumpster']"
pudding box,utility room,"['box', 'freezer', 'attic', 'oven']"
puzzle game,utility room,"['freezer', 'jar', 'dumpster', 'freezer']"
racquetball,playroom,"['house', 'family room', 'basement', 'freezer']"
ramekin,playroom,"['cellar', 'bar', 'can', 'trap']"
remote control,exercise room,"['bar', 'family room', 'jar', 'jar']"
remotecontrol,bedroom,"['family room', 'basement', 'childs room', 'dining room']"
rmal laminator,living room,"['bar', 'can', 'can', 'freezer']"
roast,oven,"['bathroom', 'childs room', 'trap', 'closet']"
roomdecor,living room,"['pantry room', 'cellar', 'box', 'dumpster']"
router,bedroom,"['dumpster', 'house', 'family room', 'basement']"
rubiks cube,home office,"['basement', 'cellar', 'bar', 'can']"
safe,living room,"['attic', 'box', 'jar', 'attic']"
salt shaker,bathroom,"['dumpster', 'box', 'family room', 'trap']"
saltshaker,kitchen,"['house', 'dining room', 'freezer', 'lobby']"
sanitary pads,bedroom,"['trap', 'jar', 'can', 'trap']"
saucer,kitchen,"['dumpster', 'oven', 'dumpster', 'freezer']"
saute pan,kitchen,"['box', 'freezer', 'room', 'dumpster']"
scissors,exercise room,"['freezer', 'dumpster', 'house', 'cellar']"
scrubbrush,bathroom,"['basement', 'television room', 'storage room', 'room']"
set-top box,bathroom,"['trap', 'house', 'trap', 'oven']"
shelf,bedroom,"['television room', 'basement', 'basement', 'trap']"
shelvingunit,bedroom,"['playroom', 'attic', 'television room', 'bar']"
shoe,closet,"['oven', 'bar', 'cellar', 'cellar']"
shoe box,corridor,"['can', 'freezer', 'oven', 'bar']"
showercurtain,bathroom,"['room', 'pantry room', 'storage room', 'cellar']"
showerdoor,bathroom,"['kitchen', 'kitchen', 'television room', 'corridor']"
showerglass,bathroom,"['dining room', 'dining room', 'attic', 'basement']"
showerhead,bathroom,"['cellar', 'dining room', 'exercise room', 'bar']"
shredder,pantry room,"['trap', 'freezer', 'room', 'can']"
sidetable,living room,"['family room', 'oven', 'corridor', 'closet']"
sidewalk chalk,living room,"['can', 'dumpster', 'family room', 'oven']"
sink,kitchen,"['television room', 'childs room', 'attic', 'closet']"
sinkbasin,bathroom,"['garage', 'lobby', 'freezer', 'family room']"
skillet,exercise room,"['trap', 'box', 'trap', 'house']"
skillet lid,closet,"['attic', 'room', 'can', 'box']"
skin care product,corridor,"['freezer', 'bar', 'cellar', 'trap']"
skin moisturizer,bathroom,"['attic', 'box', 'house', 'house']"
snack cake,lobby,"['oven', 'box', 'trap', 'room']"
snack dispenser,utility room,"['house', 'basement', 'trap', 'freezer']"
soap dish,childs room,"['basement', 'box', 'house', 'can']"
soap dispenser,kitchen,"['cellar', 'box', 'trap', 'attic']"
soapbar,bathroom,"['television room', 'closet', 'closet', 'dining room']"
soapbottle,bathroom,"['childs room', 'basement', 'pantry room', 'freezer']"
sofa,living room,"['utility room', 'bathroom', 'basement', 'basement']"
softball,bedroom,"['family room', 'freezer', 'freezer', 'oven']"
software cd,dining room,"['jar', 'attic', 'bar', 'bar']"
sorting toy,playroom,"['dumpster', 'freezer', 'house', 'bar']"
sparkling water,garage,"['jar', 'jar', 'freezer', 'cellar']"
spatula,kitchen,"['cellar', 'family room', 'house', 'house']"
spider,cellar,"['pantry room', 'bedroom', 'bedroom', 'television room']"
sponge,utility room,"['family room', 'basement', 'attic', 'box']"
sponge dish,pantry room,"['trap', 'can', 'basement', 'bar']"
spoon,kitchen,"['bar', 'can', 'room', 'attic']"
spoon rest,bathroom,"['dumpster', 'family room', 'attic', 'oven']"
spraybottle,bathroom,"['dumpster', 'jar', 'jar', 'freezer']"
stacking cups,closet,"['room', 'basement', 'trap', 'family room']"
stand mixer,pantry room,"['family room', 'attic', 'bar', 'bar']"
statue,kitchen,"['dining room', 'can', 'can', 'house']"
steak,freezer,"['exercise room', 'family room', 'childs room', 'television room']"
stool,kitchen,"['childs room', 'corridor', 'house', 'trap']"
storage bin,closet,"['trap', 'basement', 'basement', 'cellar']"
stoveburner,kitchen,"['freezer', 'closet', 'box', 'bar']"
stoveknob,kitchen,"['pantry room', 'bathroom', 'pantry room', 'garage']"
strawberry,storage room,"['can', 'freezer', 'oven', 'freezer']"
string lights,bedroom,"['freezer', 'dumpster', 'oven', 'dumpster']"
stuffed toy,kitchen,"['house', 'house', 'cellar', 'family room']"
sugar box,utility room,"['room', 'basement', 'family room', 'freezer']"
sugar sprinkles,dining room,"['room', 'oven', 'bar', 'family room']"
surface saver ring,exercise room,"['basement', 'bar', 'trap', 'oven']"
sushi mat,exercise room,"['trap', 'room', 'jar', 'attic']"
table,bedroom,"['jar', 'home office', 'playroom', 'pantry room']"
table lamp,dining room,"['box', 'jar', 'attic', 'dumpster']"
tablet,pantry room,"['freezer', 'house', 'box', 'freezer']"
tablet holder,dining room,"['can', 'house', 'jar', 'jar']"
tablet stand,playroom,"['freezer', 'freezer', 'dumpster', 'jar']"
tabletopdecor,bedroom,"['exercise room', 'bar', 'exercise room', 'dumpster']"
tampon,childs room,"['attic', 'can', 'can', 'house']"
tea can pack,kitchen,"['attic', 'box', 'house', 'basement']"
tea pods,lobby,"['attic', 'can', 'basement', 'jar']"
teapot,storage room,"['oven', 'basement', 'trap', 'box']"
teddybear,bedroom,"['childs room', 'house', 'television room', 'oven']"
television,bedroom,"['childs room', 'jar', 'freezer', 'utility room']"
tennis ball,storage room,"['attic', 'oven', 'house', 'oven']"
tennisracket,bedroom,"['box', 'closet', 'oven', 'television room']"
tissuebox,living room,"['childs room', 'can', 'home office', 'room']"
toaster,kitchen,"['attic', 'trap', 'box', 'basement']"
toilet,bathroom,"['bar', 'storage room', 'attic', 'utility room']"
toiletpaper,bathroom,"['oven', 'garage', 'basement', 'lobby']"
toiletpaperhanger,bathroom,"['exercise room', 'bedroom', 'box', 'television room']"
tomato,kitchen,"['cellar', 'freezer', 'attic', 'closet']"
tomato soup can,childs room,"['cellar', 'bar', 'attic', 'bar']"
toothbrush holder,kitchen,"['basement', 'bar', 'jar', 'room']"
toothbrush pack,utility room,"['can', 'box', 'trap', 'attic']"
towel,bathroom,"['freezer', 'box', 'bar', 'bar']"
towelholder,bathroom,"['television room', 'cellar', 'childs room', 'bedroom']"
toy,box,"['utility room', 'basement', 'freezer', 'house']"
toy airplane,bedroom,"['cellar', 'box', 'oven', 'attic']"
toy animal,corridor,"['family room', 'box', 'family room', 'can']"
toy basketball,bedroom,"['basement', 'jar', 'room', 'can']"
toy bowling set,pantry room,"['can', 'cellar', 'can', 'freezer']"
toy construction set,pantry room,"['jar', 'trap', 'house', 'can']"
toy fishing,bedroom,"['oven', 'cellar', 'freezer', 'oven']"
toy food,garage,"['freezer', 'cellar', 'cellar', 'attic']"
toy furniture set,utility room,"['family room', 'house', 'cellar', 'freezer']"
toy instrument,utility room,"['box', 'jar', 'house', 'oven']"
toy kitchen set,utility room,"['family room', 'can', 'oven', 'dumpster']"
toy tool kit,utility room,"['can', 'jar', 'house', 'oven']"
toy vehicle,bathroom,"['can', 'bar', 'attic', 'house']"
tray,living room,"['bar', 'house', 'house', 'attic']"
tumbler,garage,"['bar', 'box', 'family room', 'oven']"
tv,family room,"['living room', 'room', 'jar', 'television room']"
tvstand,living room,"['childs room', 'room', 'storage room', 'room']"
umbrella,home office,"['house', 'basement', 'house', 'room']"
usb drive,television room,"['basement', 'oven', 'family room', 'trap']"
utensil holder,home office,"['box', 'house', 'attic', 'dumpster']"
vacuumcleaner,bedroom,"['oven', 'dumpster', 'corridor', 'garage']"
vase,bedroom,"['box', 'basement', 'cellar', 'can']"
video game,lobby,"['box', 'trap', 'jar', 'can']"
vinyl tape,bathroom,"['trap', 'room', 'bar', 'can']"
virtual reality viewer,utility room,"['trap', 'can', 'oven', 'box']"
wardrobe,room,"['trap', 'freezer', 'jar', 'dining room']"
washcloth,exercise room,"['bar', 'room', 'can', 'cellar']"
waste basket,playroom,"['bar', 'basement', 'trap', 'basement']"
watch,bedroom,"['can', 'family room', 'basement', 'storage room']"
water bottle,bathroom,"['oven', 'can', 'oven', 'cellar']"
wateringcan,living room,"['childs room', 'dumpster', 'trap', 'can']"
weight loss guide,childs room,"['house', 'attic', 'box', 'basement']"
whale whistle,bedroom,"['jar', 'attic', 'bar', 'jar']"
window,bathroom,"['family room', 'closet', 'jar', 'lobby']"
wine glass,kitchen,"['living room', 'house', 'pantry room', 'oven']"
winebottle,kitchen,"['jar', 'oven', 'playroom', 'family room']"
wipe warmer,closet,"['oven', 'box', 'dumpster', 'box']"
wireless accessory,television room,"['can', 'attic', 'bar', 'basement']"
xylitol sweetener,garage,"['house', 'cellar', 'box', 'family room']"
