Object,Locations
bleach cleanser,"{1: ('utility room', 1.0), 2: ('kitchen', 1.0), 3: ('closet', 1.0), 4: ('home office', 1.0), 5: ('playroom', 1.0), 6: ('pantry room', 1.0), 7: ('exercise room', 1.0), 8: ('bathroom', 1.0), 9: ('television room', 1.0), 10: ('bedroom', 1.0), 11: ('childs room', 1.0), 12: ('lobby', 1.0), 13: ('dining room', 1.0), 14: ('garage', 1.0), 15: ('corridor', 1.0), 16: ('living room', 1.0), 17: ('storage room', 1.0)}"
blender jar,"{1: ('exercise room', 1.0), 2: ('pantry room', 1.0), 3: ('playroom', 1.0), 4: ('bathroom', 1.0), 5: ('living room', 1.0), 6: ('garage', 1.0), 7: ('home office', 1.0), 8: ('dining room', 1.0), 9: ('corridor', 1.0), 10: ('kitchen', 1.0), 11: ('utility room', 1.0), 12: ('television room', 1.0), 13: ('lobby', 1.0), 14: ('bedroom', 1.0), 15: ('storage room', 1.0), 16: ('childs room', 1.0), 17: ('closet', 1.0)}"
blind,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
board game,"{1: ('closet', 1.0), 2: ('childs room', 1.0), 3: ('storage room', 1.0), 4: ('home office', 1.0), 5: ('utility room', 1.0), 6: ('lobby', 1.0), 7: ('exercise room', 1.0), 8: ('bedroom', 1.0), 9: ('bathroom', 1.0), 10: ('pantry room', 1.0), 11: ('corridor', 1.0), 12: ('garage', 1.0), 13: ('dining room', 1.0), 14: ('kitchen', 1.0), 15: ('playroom', 1.0), 16: ('television room', 1.0), 17: ('living room', 1.0)}"
book,"{1: ('kitchen', 2.0), 2: ('living room', 2.0), 3: ('bedroom', 2.0), 4: ('playroom', 1.0), 5: ('bathroom', 1.0), 6: ('pantry room', 1.0), 7: ('garage', 1.0), 8: ('television room', 1.0), 9: ('lobby', 1.0), 10: ('closet', 1.0), 11: ('utility room', 1.0), 12: ('exercise room', 1.0), 13: ('corridor', 1.0), 14: ('dining room', 1.0), 15: ('home office', 1.0), 16: ('childs room', 1.0), 17: ('storage room', 1.0)}"
bookend,"{1: ('playroom', 1.0), 2: ('exercise room', 1.0), 3: ('utility room', 1.0), 4: ('bedroom', 1.0), 5: ('television room', 1.0), 6: ('bathroom', 1.0), 7: ('closet', 1.0), 8: ('pantry room', 1.0), 9: ('corridor', 1.0), 10: ('garage', 1.0), 11: ('living room', 1.0), 12: ('dining room', 1.0), 13: ('home office', 1.0), 14: ('childs room', 1.0), 15: ('kitchen', 1.0), 16: ('storage room', 1.0), 17: ('lobby', 1.0)}"
boot,"{1: ('living room', 1.0), 2: ('bedroom', 1.0)}"
bottle,"{1: ('kitchen', 1.75)}"
bowl,"{1: ('kitchen', 2.75), 2: ('living room', 2.0), 3: ('bedroom', 2.0), 4: ('corridor', 1.0), 5: ('storage room', 1.0), 6: ('dining room', 1.0), 7: ('childs room', 1.0), 8: ('closet', 1.0), 9: ('television room', 1.0), 10: ('lobby', 1.0), 11: ('home office', 1.0), 12: ('pantry room', 1.0), 13: ('exercise room', 1.0), 14: ('utility room', 1.0), 15: ('bathroom', 1.0), 16: ('garage', 1.0), 17: ('playroom', 1.0)}"
box,"{1: ('living room', 2.0), 2: ('bedroom', 2.0), 3: ('home office', 1.0), 4: ('closet', 1.0), 5: ('storage room', 1.0), 6: ('exercise room', 1.0), 7: ('childs room', 1.0), 8: ('lobby', 1.0), 9: ('kitchen', 1.0), 10: ('utility room', 1.0), 11: ('pantry room', 1.0), 12: ('dining room', 1.0), 13: ('corridor', 1.0), 14: ('bathroom', 1.0), 15: ('television room', 1.0), 16: ('garage', 1.0), 17: ('playroom', 1.0)}"
bread,"{1: ('kitchen', 1.0)}"
bundt pan,"{1: ('home office', 1.0), 2: ('bedroom', 1.0), 3: ('pantry room', 1.0), 4: ('exercise room', 1.0), 5: ('garage', 1.0), 6: ('storage room', 1.0), 7: ('living room', 1.0), 8: ('kitchen', 1.0), 9: ('dining room', 1.0), 10: ('closet', 1.0), 11: ('television room', 1.0), 12: ('corridor', 1.0), 13: ('lobby', 1.0), 14: ('playroom', 1.0), 15: ('childs room', 1.0), 16: ('utility room', 1.0), 17: ('bathroom', 1.0)}"
butter dish,"{1: ('childs room', 1.0), 2: ('playroom', 1.0), 3: ('garage', 1.0), 4: ('corridor', 1.0), 5: ('exercise room', 1.0), 6: ('closet', 1.0), 7: ('storage room', 1.0), 8: ('lobby', 1.0), 9: ('bathroom', 1.0), 10: ('pantry room', 1.0), 11: ('living room', 1.0), 12: ('television room', 1.0), 13: ('utility room', 1.0), 14: ('bedroom', 1.0), 15: ('home office', 1.0), 16: ('dining room', 1.0), 17: ('kitchen', 1.0)}"
butterknife,"{1: ('kitchen', 1.0)}"
cabinet,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0), 4: ('bathroom', 1.0)}"
cake mix,"{1: ('pantry room', 1.0), 2: ('home office', 1.0), 3: ('corridor', 1.0), 4: ('kitchen', 1.0), 5: ('bathroom', 1.0), 6: ('dining room', 1.0), 7: ('childs room', 1.0), 8: ('playroom', 1.0), 9: ('television room', 1.0), 10: ('utility room', 1.0), 11: ('garage', 1.0), 12: ('closet', 1.0), 13: ('bedroom', 1.0), 14: ('living room', 1.0), 15: ('storage room', 1.0), 16: ('exercise room', 1.0), 17: ('lobby', 1.0)}"
cake pan,"{1: ('storage room', 1.0), 2: ('childs room', 1.0), 3: ('utility room', 1.0), 4: ('corridor', 1.0), 5: ('bedroom', 1.0), 6: ('exercise room', 1.0), 7: ('pantry room', 1.0), 8: ('kitchen', 1.0), 9: ('dining room', 1.0), 10: ('playroom', 1.0), 11: ('garage', 1.0), 12: ('living room', 1.0), 13: ('bathroom', 1.0), 14: ('television room', 1.0), 15: ('closet', 1.0), 16: ('lobby', 1.0), 17: ('home office', 1.0)}"
camera,"{1: ('storage room', 1.0), 2: ('corridor', 1.0), 3: ('bedroom', 1.0), 4: ('home office', 1.0), 5: ('garage', 1.0), 6: ('utility room', 1.0), 7: ('living room', 1.0), 8: ('dining room', 1.0), 9: ('pantry room', 1.0), 10: ('closet', 1.0), 11: ('bathroom', 1.0), 12: ('exercise room', 1.0), 13: ('television room', 1.0), 14: ('childs room', 1.0), 15: ('playroom', 1.0), 16: ('lobby', 1.0), 17: ('kitchen', 1.0)}"
can opener,"{1: ('childs room', 1.0), 2: ('utility room', 1.0), 3: ('dining room', 1.0), 4: ('playroom', 1.0), 5: ('living room', 1.0), 6: ('kitchen', 1.0), 7: ('corridor', 1.0), 8: ('garage', 1.0), 9: ('exercise room', 1.0), 10: ('lobby', 1.0), 11: ('home office', 1.0), 12: ('bedroom', 1.0), 13: ('pantry room', 1.0), 14: ('bathroom', 1.0), 15: ('storage room', 1.0), 16: ('closet', 1.0), 17: ('television room', 1.0)}"
candle,"{1: ('living room', 1.0), 2: ('bathroom', 1.0)}"
candle holder,"{1: ('kitchen', 1.0), 2: ('utility room', 1.0), 3: ('bedroom', 1.0), 4: ('garage', 1.0), 5: ('home office', 1.0), 6: ('storage room', 1.0), 7: ('lobby', 1.0), 8: ('exercise room', 1.0), 9: ('bathroom', 1.0), 10: ('closet', 1.0), 11: ('pantry room', 1.0), 12: ('childs room', 1.0), 13: ('playroom', 1.0), 14: ('television room', 1.0), 15: ('living room', 1.0), 16: ('corridor', 1.0), 17: ('dining room', 1.0)}"
candy,"{1: ('jar', 1.0), 2: ('closet', 1.0), 3: ('exercise room', 1.0), 4: ('bathroom', 1.0), 5: ('playroom', 1.0), 6: ('utility room', 1.0), 7: ('home office', 1.0), 8: ('pantry room', 1.0), 9: ('kitchen', 1.0), 10: ('garage', 1.0), 11: ('living room', 1.0), 12: ('television room', 1.0), 13: ('bedroom', 1.0), 14: ('lobby', 1.0), 15: ('corridor', 1.0), 16: ('storage room', 1.0), 17: ('dining room', 1.0), 18: ('childs room', 1.0)}"
candy bar,"{1: ('childs room', 1.0), 2: ('pantry room', 1.0), 3: ('bathroom', 1.0), 4: ('exercise room', 1.0), 5: ('utility room', 1.0), 6: ('bedroom', 1.0), 7: ('living room', 1.0), 8: ('playroom', 1.0), 9: ('television room', 1.0), 10: ('lobby', 1.0), 11: ('storage room', 1.0), 12: ('corridor', 1.0), 13: ('closet', 1.0), 14: ('kitchen', 1.0), 15: ('dining room', 1.0), 16: ('garage', 1.0), 17: ('home office', 1.0)}"
canister,"{1: ('bedroom', 1.0), 2: ('corridor', 1.0), 3: ('playroom', 1.0), 4: ('closet', 1.0), 5: ('kitchen', 1.0), 6: ('childs room', 1.0), 7: ('home office', 1.0), 8: ('dining room', 1.0), 9: ('storage room', 1.0), 10: ('garage', 1.0), 11: ('pantry room', 1.0), 12: ('television room', 1.0), 13: ('utility room', 1.0), 14: ('living room', 1.0), 15: ('exercise room', 1.0), 16: ('lobby', 1.0), 17: ('bathroom', 1.0)}"
card game,"{1: ('closet', 1.0), 2: ('garage', 1.0), 3: ('utility room', 1.0), 4: ('corridor', 1.0), 5: ('storage room', 1.0), 6: ('exercise room', 1.0), 7: ('bathroom', 1.0), 8: ('childs room', 1.0), 9: ('living room', 1.0), 10: ('lobby', 1.0), 11: ('playroom', 1.0), 12: ('pantry room', 1.0), 13: ('home office', 1.0), 14: ('dining room', 1.0), 15: ('bedroom', 1.0), 16: ('television room', 1.0), 17: ('kitchen', 1.0)}"
carrying case,"{1: ('home office', 1.0), 2: ('utility room', 1.0), 3: ('storage room', 1.0), 4: ('living room', 1.0), 5: ('pantry room', 1.0), 6: ('bedroom', 1.0), 7: ('childs room', 1.0), 8: ('corridor', 1.0), 9: ('kitchen', 1.0), 10: ('dining room', 1.0), 11: ('garage', 1.0), 12: ('bathroom', 1.0), 13: ('exercise room', 1.0), 14: ('closet', 1.0), 15: ('playroom', 1.0), 16: ('lobby', 1.0), 17: ('television room', 1.0)}"
casserole dish,"{1: ('television room', 1.0), 2: ('bathroom', 1.0), 3: ('home office', 1.0), 4: ('storage room', 1.0), 5: ('childs room', 1.0), 6: ('bedroom', 1.0), 7: ('pantry room', 1.0), 8: ('kitchen', 1.0), 9: ('lobby', 1.0), 10: ('exercise room', 1.0), 11: ('garage', 1.0), 12: ('closet', 1.0), 13: ('dining room', 1.0), 14: ('living room', 1.0), 15: ('playroom', 1.0), 16: ('utility room', 1.0), 17: ('corridor', 1.0)}"
cd,"{1: ('bedroom', 1.0)}"
cellphone,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
cereal,"{1: ('utility room', 1.0), 2: ('television room', 1.0), 3: ('bedroom', 1.0), 4: ('home office', 1.0), 5: ('kitchen', 1.0), 6: ('storage room', 1.0), 7: ('playroom', 1.0), 8: ('childs room', 1.0), 9: ('living room', 1.0), 10: ('lobby', 1.0), 11: ('corridor', 1.0), 12: ('bathroom', 1.0), 13: ('garage', 1.0), 14: ('pantry room', 1.0), 15: ('dining room', 1.0), 16: ('exercise room', 1.0), 17: ('closet', 1.0)}"
chain,"{1: ('utility room', 1.0), 2: ('television room', 1.0), 3: ('kitchen', 1.0), 4: ('corridor', 1.0), 5: ('pantry room', 1.0), 6: ('playroom', 1.0), 7: ('closet', 1.0), 8: ('bathroom', 1.0), 9: ('home office', 1.0), 10: ('garage', 1.0), 11: ('bedroom', 1.0), 12: ('dining room', 1.0), 13: ('lobby', 1.0), 14: ('storage room', 1.0), 15: ('exercise room', 1.0), 16: ('living room', 1.0), 17: ('childs room', 1.0)}"
chair,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
chocolate,"{1: ('storage room', 1.0), 2: ('dining room', 1.0), 3: ('exercise room', 1.0), 4: ('corridor', 1.0), 5: ('bathroom', 1.0), 6: ('kitchen', 1.0), 7: ('pantry room', 1.0), 8: ('home office', 1.0), 9: ('childs room', 1.0), 10: ('playroom', 1.0), 11: ('bedroom', 1.0), 12: ('closet', 1.0), 13: ('living room', 1.0), 14: ('lobby', 1.0), 15: ('garage', 1.0), 16: ('utility room', 1.0), 17: ('television room', 1.0)}"
chocolate box,"{1: ('lobby', 1.0), 2: ('exercise room', 1.0), 3: ('kitchen', 1.0), 4: ('dining room', 1.0), 5: ('television room', 1.0), 6: ('corridor', 1.0), 7: ('garage', 1.0), 8: ('bedroom', 1.0), 9: ('childs room', 1.0), 10: ('home office', 1.0), 11: ('storage room', 1.0), 12: ('living room', 1.0), 13: ('playroom', 1.0), 14: ('bathroom', 1.0), 15: ('utility room', 1.0), 16: ('closet', 1.0), 17: ('pantry room', 1.0)}"
chocolate milk pods,"{1: ('lobby', 1.0), 2: ('exercise room', 1.0), 3: ('kitchen', 1.0), 4: ('dining room', 1.0), 5: ('television room', 1.0), 6: ('corridor', 1.0), 7: ('garage', 1.0), 8: ('bedroom', 1.0), 9: ('childs room', 1.0), 10: ('home office', 1.0), 11: ('storage room', 1.0), 12: ('living room', 1.0), 13: ('playroom', 1.0), 14: ('bathroom', 1.0), 15: ('utility room', 1.0), 16: ('closet', 1.0), 17: ('pantry room', 1.0)}"
chocolate powder,"{1: ('closet', 1.0), 2: ('corridor', 1.0), 3: ('playroom', 1.0), 4: ('storage room', 1.0), 5: ('lobby', 1.0), 6: ('dining room', 1.0), 7: ('bathroom', 1.0), 8: ('garage', 1.0), 9: ('bedroom', 1.0), 10: ('exercise room', 1.0), 11: ('utility room', 1.0), 12: ('pantry room', 1.0), 13: ('childs room', 1.0), 14: ('living room', 1.0), 15: ('kitchen', 1.0), 16: ('television room', 1.0), 17: ('home office', 1.0)}"
chopping board,"{1: ('utility room', 1.0), 2: ('pantry room', 1.0), 3: ('kitchen', 1.0), 4: ('bedroom', 1.0), 5: ('childs room', 1.0), 6: ('living room', 1.0), 7: ('closet', 1.0), 8: ('garage', 1.0), 9: ('television room', 1.0), 10: ('corridor', 1.0), 11: ('exercise room', 1.0), 12: ('dining room', 1.0), 13: ('playroom', 1.0), 14: ('storage room', 1.0), 15: ('home office', 1.0), 16: ('bathroom', 1.0), 17: ('lobby', 1.0)}"
clamp,"{1: ('playroom', 1.0), 2: ('garage', 1.0), 3: ('corridor', 1.0), 4: ('bedroom', 1.0), 5: ('pantry room', 1.0), 6: ('bathroom', 1.0), 7: ('exercise room', 1.0), 8: ('home office', 1.0), 9: ('utility room', 1.0), 10: ('dining room', 1.0), 11: ('television room', 1.0), 12: ('living room', 1.0), 13: ('storage room', 1.0), 14: ('kitchen', 1.0), 15: ('childs room', 1.0), 16: ('lobby', 1.0), 17: ('closet', 1.0)}"
clay,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('television room', 1.0), 4: ('garage', 1.0), 5: ('bedroom', 1.0), 6: ('dining room', 1.0), 7: ('utility room', 1.0), 8: ('exercise room', 1.0), 9: ('home office', 1.0), 10: ('corridor', 1.0), 11: ('bathroom', 1.0), 12: ('playroom', 1.0), 13: ('childs room', 1.0), 14: ('pantry room', 1.0), 15: ('storage room', 1.0), 16: ('lobby', 1.0), 17: ('closet', 1.0)}"
clock,"{1: ('dining room', 1.0), 2: ('garage', 1.0), 3: ('pantry room', 1.0), 4: ('living room', 1.0), 5: ('corridor', 1.0), 6: ('television room', 1.0), 7: ('bedroom', 1.0), 8: ('playroom', 1.0), 9: ('exercise room', 1.0), 10: ('utility room', 1.0), 11: ('closet', 1.0), 12: ('storage room', 1.0), 13: ('lobby', 1.0), 14: ('home office', 1.0), 15: ('childs room', 1.0), 16: ('kitchen', 1.0), 17: ('bathroom', 1.0)}"
cloth,"{1: ('bedroom', 2.0), 2: ('bathroom', 2.0), 3: ('storage room', 1.0), 4: ('corridor', 1.0), 5: ('childs room', 1.0), 6: ('playroom', 1.0), 7: ('dining room', 1.0), 8: ('garage', 1.0), 9: ('closet', 1.0), 10: ('lobby', 1.0), 11: ('home office', 1.0), 12: ('kitchen', 1.0), 13: ('exercise room', 1.0), 14: ('pantry room', 1.0), 15: ('utility room', 1.0), 16: ('living room', 1.0), 17: ('television room', 1.0)}"
coffee beans,"{1: ('television room', 1.0), 2: ('closet', 1.0), 3: ('childs room', 1.0), 4: ('lobby', 1.0), 5: ('home office', 1.0), 6: ('storage room', 1.0), 7: ('bathroom', 1.0), 8: ('bedroom', 1.0), 9: ('kitchen', 1.0), 10: ('living room', 1.0), 11: ('playroom', 1.0), 12: ('exercise room', 1.0), 13: ('corridor', 1.0), 14: ('garage', 1.0), 15: ('dining room', 1.0), 16: ('pantry room', 1.0), 17: ('utility room', 1.0)}"
coffee pods,"{1: ('exercise room', 1.0), 2: ('dining room', 1.0), 3: ('playroom', 1.0), 4: ('bedroom', 1.0), 5: ('home office', 1.0), 6: ('lobby', 1.0), 7: ('corridor', 1.0), 8: ('kitchen', 1.0), 9: ('living room', 1.0), 10: ('garage', 1.0), 11: ('pantry room', 1.0), 12: ('bathroom', 1.0), 13: ('television room', 1.0), 14: ('utility room', 1.0), 15: ('storage room', 1.0), 16: ('closet', 1.0), 17: ('childs room', 1.0)}"
coffeemachine,"{1: ('kitchen', 1.0)}"
coffeemaker,"{1: ('pantry room', 1.0), 2: ('lobby', 1.0), 3: ('dining room', 1.0), 4: ('storage room', 1.0), 5: ('utility room', 1.0), 6: ('garage', 1.0), 7: ('bathroom', 1.0), 8: ('television room', 1.0), 9: ('playroom', 1.0), 10: ('home office', 1.0), 11: ('closet', 1.0), 12: ('living room', 1.0), 13: ('exercise room', 1.0), 14: ('bedroom', 1.0), 15: ('kitchen', 1.0), 16: ('childs room', 1.0), 17: ('corridor', 1.0)}"
coffeetable,"{1: ('living room', 1.0), 2: ('bedroom', 1.0)}"
colored wood blocks,"{1: ('closet', 1.0), 2: ('living room', 1.0), 3: ('playroom', 1.0), 4: ('childs room', 1.0), 5: ('bedroom', 1.0), 6: ('bathroom', 1.0), 7: ('dining room', 1.0), 8: ('pantry room', 1.0), 9: ('corridor', 1.0), 10: ('home office', 1.0), 11: ('exercise room', 1.0), 12: ('lobby', 1.0), 13: ('utility room', 1.0), 14: ('storage room', 1.0), 15: ('kitchen', 1.0), 16: ('garage', 1.0), 17: ('television room', 1.0)}"
condiment,"{1: ('bedroom', 1.0), 2: ('home office', 1.0), 3: ('childs room', 1.0), 4: ('pantry room', 1.0), 5: ('lobby', 1.0), 6: ('living room', 1.0), 7: ('storage room', 1.0), 8: ('utility room', 1.0), 9: ('exercise room', 1.0), 10: ('dining room', 1.0), 11: ('kitchen', 1.0), 12: ('garage', 1.0), 13: ('bathroom', 1.0), 14: ('television room', 1.0), 15: ('corridor', 1.0), 16: ('closet', 1.0), 17: ('playroom', 1.0)}"
countertop,"{1: ('kitchen', 1.0), 2: ('bedroom', 1.0), 3: ('bathroom', 1.0)}"
cracker box,"{1: ('corridor', 1.0), 2: ('living room', 1.0), 3: ('storage room', 1.0), 4: ('dining room', 1.0), 5: ('childs room', 1.0), 6: ('closet', 1.0), 7: ('television room', 1.0), 8: ('lobby', 1.0), 9: ('kitchen', 1.0), 10: ('home office', 1.0), 11: ('pantry room', 1.0), 12: ('exercise room', 1.0), 13: ('utility room', 1.0), 14: ('bathroom', 1.0), 15: ('garage', 1.0), 16: ('playroom', 1.0), 17: ('bedroom', 1.0)}"
crayon,"{1: ('home office', 1.0), 2: ('utility room', 1.0), 3: ('lobby', 1.0), 4: ('garage', 1.0), 5: ('playroom', 1.0), 6: ('storage room', 1.0), 7: ('bathroom', 1.0), 8: ('corridor', 1.0), 9: ('television room', 1.0), 10: ('kitchen', 1.0), 11: ('closet', 1.0), 12: ('pantry room', 1.0), 13: ('bedroom', 1.0), 14: ('dining room', 1.0), 15: ('living room', 1.0), 16: ('exercise room', 1.0), 17: ('childs room', 1.0)}"
creditcard,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
cube storage box,"{1: ('utility room', 1.0), 2: ('bedroom', 1.0), 3: ('childs room', 1.0), 4: ('kitchen', 1.0), 5: ('home office', 1.0), 6: ('lobby', 1.0), 7: ('garage', 1.0), 8: ('exercise room', 1.0), 9: ('storage room', 1.0), 10: ('closet', 1.0), 11: ('dining room', 1.0), 12: ('pantry room', 1.0), 13: ('playroom', 1.0), 14: ('living room', 1.0), 15: ('television room', 1.0), 16: ('corridor', 1.0), 17: ('bathroom', 1.0)}"
