object,correct_location,predicted_location,location_choices,correct_prediction
book,bedroom,bedroom,"['house', 'oven', 'box', 'bedroom', 'attic']",True
bookend,playroom,family room,"['playroom', 'freezer', 'family room', 'attic', 'bar']",False
boot,bedroom,closet,"['corridor', 'kitchen', 'bedroom', 'house', 'closet']",False
bottle,kitchen,kitchen,"['dumpster', 'house', 'closet', 'kitchen', 'childs room']",True
bowl,kitchen,kitchen,"['bar', 'kitchen', 'box', 'can', 'house']",True
box,living room,living room,"['house', 'trap', 'living room', 'bar', 'oven']",True
bread,kitchen,kitchen,"['dumpster', 'corridor', 'childs room', 'utility room', 'kitchen']",True
bundt pan,corridor,room,"['attic', 'room', 'trap', 'corridor', 'jar']",False
butter dish,dining room,dining room,"['bar', 'freezer', 'attic', 'dining room', 'trap']",True
butterknife,kitchen,kitchen,"['family room', 'bathroom', 'kitchen', 'childs room', 'bedroom']",True
cabinet,kitchen,kitchen,"['trap', 'closet', 'kitchen', 'childs room', 'pantry room']",True
cake mix,exercise room,can,"['can', 'exercise room', 'room', 'can', 'trap']",False
cake pan,storage room,storage room,"['jar', 'freezer', 'bar', 'box', 'storage room']",True
camera,bedroom,family room,"['bar', 'bedroom', 'house', 'family room', 'bar']",False
can opener,garage,garage,"['cellar', 'dumpster', 'garage', 'trap', 'dumpster']",True
candle,bathroom,bedroom,"['bathroom', 'childs room', 'bedroom', 'bar', 'bedroom']",False
candle holder,bathroom,family room,"['bathroom', 'cellar', 'attic', 'family room', 'can']",False
candy,bedroom,box,"['bedroom', 'box', 'box', 'cellar', 'oven']",False
candy bar,playroom,playroom,"['playroom', 'cellar', 'basement', 'cellar', 'oven']",True
canister,dining room,dining room,"['trap', 'dining room', 'jar', 'dumpster', 'cellar']",True
card game,dining room,dining room,"['bar', 'jar', 'basement', 'dumpster', 'dining room']",True
carrying case,childs room,box,"['box', 'trap', 'freezer', 'oven', 'childs room']",False
casserole dish,home office,oven,"['basement', 'oven', 'trap', 'home office', 'box']",False
cd,bedroom,box,"['kitchen', 'bedroom', 'box', 'house', 'lobby']",False
cellphone,living room,living room,"['bathroom', 'trap', 'exercise room', 'living room', 'room']",True
cereal,exercise room,jar,"['jar', 'cellar', 'exercise room', 'bar', 'basement']",False
chain,playroom,cellar,"['bar', 'bar', 'playroom', 'cellar', 'family room']",False
chair,bedroom,dining room,"['home office', 'dining room', 'bedroom', 'exercise room', 'cellar']",False
chocolate,exercise room,freezer,"['trap', 'family room', 'exercise room', 'can', 'freezer']",False
chocolate box,exercise room,cellar,"['cellar', 'jar', 'attic', 'exercise room', 'trap']",False
chocolate milk pods,television room,freezer,"['freezer', 'room', 'attic', 'freezer', 'television room']",False
chocolate powder,television room,bar,"['freezer', 'bar', 'television room', 'house', 'dumpster']",False
chopping board,dining room,room,"['can', 'basement', 'room', 'freezer', 'dining room']",False
clamp,childs room,attic,"['attic', 'trap', 'childs room', 'jar', 'attic']",False
clay,bathroom,family room,"['family room', 'bar', 'bathroom', 'freezer', 'freezer']",False
clock,home office,home office,"['dumpster', 'home office', 'room', 'trap', 'house']",True
cloth,bathroom,bathroom,"['bathroom', 'dumpster', 'family room', 'box', 'freezer']",True
coffee beans,closet,box,"['attic', 'trap', 'closet', 'box', 'oven']",False
coffee pods,playroom,jar,"['cellar', 'jar', 'freezer', 'playroom', 'basement']",False
coffeemachine,kitchen,kitchen,"['jar', 'lobby', 'childs room', 'pantry room', 'kitchen']",True
coffeemaker,bathroom,bar,"['freezer', 'bar', 'bathroom', 'freezer', 'room']",False
coffeetable,living room,living room,"['corridor', 'living room', 'house', 'kitchen', 'utility room']",True
colored wood blocks,bathroom,family room,"['family room', 'bathroom', 'attic', 'cellar', 'box']",False
condiment,home office,room,"['trap', 'dumpster', 'home office', 'room', 'family room']",False
countertop,bedroom,utility room,"['corridor', 'oven', 'utility room', 'oven', 'bedroom']",False
cracker box,bathroom,room,"['room', 'trap', 'bathroom', 'can', 'attic']",False
crayon,exercise room,room,"['trap', 'freezer', 'house', 'room', 'exercise room']",False
creditcard,bedroom,bedroom,"['bathroom', 'lobby', 'pantry room', 'bedroom', 'house']",True
cube storage box,lobby,basement,"['basement', 'freezer', 'bar', 'lobby', 'cellar']",False
cup,kitchen,kitchen,"['trap', 'family room', 'trap', 'can', 'kitchen']",True
curtain,bedroom,bedroom,"['bar', 'bedroom', 'dining room', 'house', 'pantry room']",True
cushion,television room,television room,"['house', 'television room', 'attic', 'room', 'room']",True
desk,living room,living room,"['living room', 'jar', 'house', 'childs room', 'attic']",True
desk caddy,childs room,family room,"['jar', 'attic', 'box', 'family room', 'childs room']",False
desklamp,living room,living room,"['living room', 'jar', 'dining room', 'playroom', 'utility room']",True
desktop,bedroom,bedroom,"['dumpster', 'bar', 'bedroom', 'cellar', 'corridor']",True
diaper pack,home office,home office,"['attic', 'can', 'home office', 'can', 'trap']",True
dietary supplement,storage room,storage room,"['cellar', 'basement', 'cellar', 'jar', 'storage room']",True
diningtable,kitchen,kitchen,"['freezer', 'kitchen', 'pantry room', 'corridor', 'closet']",True
dish drainer,exercise room,family room,"['cellar', 'freezer', 'trap', 'exercise room', 'family room']",False
dishsponge,bathroom,bathroom,"['lobby', 'box', 'house', 'house', 'bathroom']",True
dishtowel,lobby,oven,"['cellar', 'oven', 'cellar', 'lobby', 'dumpster']",False
dishwasher,kitchen,kitchen,"['playroom', 'childs room', 'dining room', 'playroom', 'kitchen']",True
dispensing closure,television room,bar,"['basement', 'bar', 'cellar', 'television room', 'dumpster']",False
dog bowl,garage,garage,"['trap', 'garage', 'freezer', 'attic', 'oven']",True
dog chew toy,corridor,room,"['corridor', 'basement', 'attic', 'attic', 'room']",False
dogbed,bedroom,bedroom,"['pantry room', 'bedroom', 'storage room', 'exercise room', 'garage']",True
dollhouse toy,bathroom,family room,"['jar', 'bathroom', 'family room', 'jar', 'freezer']",False
donut,television room,jar,"['can', 'jar', 'cellar', 'dumpster', 'television room']",False
drawer,kitchen,kitchen,"['basement', 'storage room', 'room', 'kitchen', 'trap']",True
dresser,bedroom,bedroom,"['oven', 'utility room', 'house', 'utility room', 'bedroom']",True
drink,can,family room,"['house', 'home office', 'can', 'family room', 'closet']",False
drink coaster,playroom,room,"['cellar', 'house', 'jar', 'playroom', 'room']",False
dryer,basement,closet,"['living room', 'closet', 'playroom', 'basement', 'television room']",False
duct tape,dining room,room,"['trap', 'room', 'dining room', 'room', 'dumpster']",False
dumbbell,bedroom,bedroom,"['attic', 'bedroom', 'oven', 'basement', 'freezer']",True
dumbbell rack,living room,room,"['room', 'can', 'room', 'can', 'living room']",False
dustpan and brush,television room,house,"['freezer', 'can', 'house', 'television room', 'can']",False
dutch oven,kitchen,kitchen,"['kitchen', 'box', 'house', 'family room', 'freezer']",True
easter basket,bedroom,family room,"['bedroom', 'attic', 'dumpster', 'family room', 'jar']",False
egg,kitchen,kitchen,"['house', 'television room', 'kitchen', 'oven', 'oven']",True
electric heater,pantry room,room,"['oven', 'room', 'pantry room', 'trap', 'family room']",False
electric toothbrush,closet,house,"['bar', 'house', 'closet', 'freezer', 'cellar']",False
electronic adapter,kitchen,kitchen,"['kitchen', 'can', 'oven', 'trap', 'dumpster']",True
electronic cable,living room,living room,"['oven', 'can', 'living room', 'can', 'bar']",True
face moisturizer,television room,family room,"['television room', 'family room', 'oven', 'freezer', 'can']",False
faucet,bathroom,bathroom,"['attic', 'bathroom', 'room', 'bar', 'dining room']",True
file sorter,living room,living room,"['house', 'freezer', 'living room', 'house', 'house']",True
fingerpaint,kitchen,kitchen,"['trap', 'house', 'attic', 'kitchen', 'freezer']",True
fitness tracker wristband,utility room,house,"['utility room', 'basement', 'basement', 'house', 'can']",False
flashlight,childs room,house,"['childs room', 'house', 'dumpster', 'jar', 'dumpster']",False
flat screwdriver,exercise room,box,"['oven', 'box', 'basement', 'trap', 'exercise room']",False
floor,living room,exercise room,"['exercise room', 'basement', 'living room', 'television room', 'dumpster']",False
floorlamp,living room,living room,"['trap', 'attic', 'lobby', 'living room', 'box']",True
foam brick,television room,television room,"['bar', 'can', 'can', 'television room', 'trap']",True
folder,corridor,family room,"['corridor', 'box', 'basement', 'family room', 'dumpster']",False
fondant,playroom,family room,"['playroom', 'basement', 'family room', 'trap', 'box']",False
footstool,bathroom,dining room,"['storage room', 'bathroom', 'cellar', 'basement', 'dining room']",False
fork,kitchen,kitchen,"['house', 'house', 'kitchen', 'box', 'basement']",True
fridge,kitchen,kitchen,"['kitchen', 'home office', 'basement', 'basement', 'bathroom']",True
fruit snack,utility room,jar,"['family room', 'jar', 'can', 'cellar', 'utility room']",False
furnace,basement,basement,"['bathroom', 'box', 'jar', 'living room', 'basement']",True
garbage,dumpster,dumpster,"['dumpster', 'basement', 'living room', 'box', 'can']",True
garbagebag,kitchen,dumpster,"['kitchen', 'dumpster', 'utility room', 'attic', 'dining room']",False
garbagecan,kitchen,kitchen,"['room', 'exercise room', 'kitchen', 'room', 'garage']",True
gelatin box,closet,freezer,"['dumpster', 'closet', 'house', 'freezer', 'bar']",False
glove,childs room,dumpster,"['childs room', 'dumpster', 'attic', 'jar', 'attic']",False
golf ball,living room,family room,"['family room', 'living room', 'trap', 'oven', 'freezer']",False
graphics card,living room,cellar,"['family room', 'cellar', 'living room', 'oven', 'house']",False
hair color,playroom,box,"['box', 'freezer', 'trap', 'playroom', 'cellar']",False
hair conditioner,dining room,house,"['dining room', 'cellar', 'attic', 'house', 'dumpster']",False
hair dryer,bathroom,bathroom,"['family room', 'can', 'trap', 'family room', 'bathroom']",True
hair straightener,exercise room,exercise room,"['oven', 'can', 'exercise room', 'basement', 'box']",True
hammer,home office,home office,"['home office', 'dumpster', 'oven', 'cellar', 'family room']",True
hand bell,dining room,dining room,"['dining room', 'can', 'room', 'trap', 'cellar']",True
handbag,exercise room,family room,"['box', 'jar', 'family room', 'attic', 'exercise room']",False
handtowel,bathroom,bathroom,"['bathroom', 'utility room', 'bar', 'house', 'can']",True
handtowelholder,bathroom,bathroom,"['childs room', 'dumpster', 'bathroom', 'living room', 'trap']",True
hard drive,bedroom,bedroom,"['jar', 'freezer', 'bar', 'can', 'bedroom']",True
hard drive case,living room,living room,"['freezer', 'trap', 'jar', 'living room', 'dumpster']",True
hat,closet,closet,"['room', 'closet', 'house', 'room', 'trap']",True
headphone,playroom,box,"['jar', 'can', 'box', 'basement', 'playroom']",False
heavy duty gloves,lobby,room,"['dumpster', 'lobby', 'can', 'can', 'room']",False
heavy master chef can,corridor,house,"['house', 'can', 'attic', 'house', 'corridor']",False
helmet,childs room,room,"['cellar', 'room', 'childs room', 'dumpster', 'family room']",False
herring fillets,bedroom,basement,"['can', 'basement', 'can', 'bedroom', 'room']",False
honey dipper,bedroom,bar,"['bedroom', 'oven', 'cellar', 'bar', 'trap']",False
houseplant,living room,living room,"['corridor', 'pantry room', 'house', 'lobby', 'living room']",True
incontinence pads,garage,dumpster,"['can', 'dumpster', 'garage', 'oven', 'room']",False
ink cartridge,childs room,dumpster,"['dumpster', 'oven', 'oven', 'house', 'childs room']",False
instant camera,television room,family room,"['trap', 'basement', 'television room', 'family room', 'trap']",False
invitation card,lobby,family room,"['lobby', 'jar', 'box', 'family room', 'cellar']",False
jar,closet,closet,"['closet', 'cellar', 'oven', 'freezer', 'jar']",True
jenga,playroom,playroom,"['house', 'room', 'cellar', 'room', 'playroom']",True
jewelry box,exercise room,attic,"['can', 'exercise room', 'box', 'freezer', 'attic']",False
kettle,kitchen,kitchen,"['attic', 'corridor', 'home office', 'house', 'kitchen']",True
keyboard,home office,home office,"['home office', 'family room', 'can', 'can', 'room']",True
keychain,living room,living room,"['house', 'garage', 'living room', 'television room', 'exercise room']",True
knife,kitchen,kitchen,"['kitchen', 'bar', 'dumpster', 'oven', 'can']",True
knife block,bedroom,family room,"['family room', 'oven', 'basement', 'cellar', 'bedroom']",False
labeling tape,bedroom,cellar,"['oven', 'bedroom', 'family room', 'cellar', 'can']",False
ladle,kitchen,kitchen,"['garage', 'home office', 'dining room', 'kitchen', 'jar']",True
lamp,bedroom,bedroom,"['bedroom', 'bar', 'attic', 'basement', 'cellar']",True
lantern,bathroom,house,"['house', 'bathroom', 'house', 'jar', 'can']",False
laptop,bedroom,bedroom,"['attic', 'trap', 'bedroom', 'jar', 'jar']",True
laptop cover,childs room,none,"['box', 'dumpster', 'cellar', 'oven', 'childs room']",False
laptop stand,childs room,trap,"['trap', 'freezer', 'childs room', 'trap', 'trap']",False
large marker,dining room,box,"['trap', 'dining room', 'bar', 'box', 'can']",False
laundry box,home office,house,"['home office', 'box', 'jar', 'house', 'house']",False
laundryhamper,bedroom,bedroom,"['garage', 'exercise room', 'bedroom', 'attic', 'kitchen']",True
laxative,dining room,box,"['trap', 'box', 'can', 'box', 'dining room']",False
lego duplo,dining room,dining room,"['dining room', 'cellar', 'bar', 'house', 'can']",True
lemon,exercise room,bar,"['bar', 'family room', 'room', 'exercise room', 'bar']",False
letter holder,storage room,storage room,"['box', 'storage room', 'oven', 'basement', 'cellar']",True
lettuce,kitchen,kitchen,"['basement', 'can', 'kitchen', 'lobby', 'oven']",True
light bulb,bedroom,basement,"['basement', 'can', 'trap', 'bedroom', 'freezer']",False
lightswitch,living room,living room,"['dining room', 'home office', 'family room', 'garage', 'living room']",True
lime squeezer,storage room,storage room,"['jar', 'oven', 'attic', 'trap', 'storage room']",True
lipstick,home office,home office,"['trap', 'bar', 'attic', 'house', 'home office']",True
lunch bag,storage room,storage room,"['bar', 'bar', 'storage room', 'jar', 'oven']",True
lunch box,dining room,dining room,"['basement', 'can', 'jar', 'dining room', 'cellar']",True
magnifying glass,utility room,room,"['room', 'family room', 'room', 'room', 'utility room']",False
mascara,lobby,room,"['dumpster', 'trap', 'bar', 'lobby', 'room']",False
master chef can,television room,freezer,"['room', 'television room', 'attic', 'freezer', 'attic']",False
measuring tape,playroom,playroom,"['playroom', 'trap', 'cellar', 'basement', 'jar']",True
medicine,home office,jar,"['trap', 'home office', 'jar', 'family room', 'dumpster']",False
microwave,kitchen,kitchen,"['exercise room', 'bedroom', 'kitchen', 'family room', 'oven']",True
milk fror,kitchen,kitchen,"['freezer', 'family room', 'kitchen', 'dumpster', 'can']",True
mini soccer ball,garage,garage,"['dumpster', 'jar', 'basement', 'box', 'garage']",True
mirror,living room,living room,"['family room', 'oven', 'living room', 'cellar', 'basement']",True
morboard,closet,family room,"['family room', 'closet', 'oven', 'house', 'attic']",False
mouse,living room,room,"['jar', 'room', 'living room', 'freezer', 'jar']",False
mouse pad,living room,family room,"['living room', 'family room', 'trap', 'trap', 'basement']",False
movie dvd,playroom,playroom,"['jar', 'bar', 'playroom', 'oven', 'oven']",True
mug,kitchen,kitchen,"['kitchen', 'house', 'basement', 'room', 'cellar']",True
multiport hub,corridor,room,"['corridor', 'dumpster', 'room', 'house', 'dumpster']",False
mustard bottle,lobby,bar,"['lobby', 'oven', 'cellar', 'bar', 'bar']",False
neck rest,living room,living room,"['house', 'box', 'oven', 'living room', 'can']",True
newspaper,living room,living room,"['dining room', 'living room', 'home office', 'basement', 'box']",True
nine hole peg test,bedroom,family room,"['dumpster', 'family room', 'bedroom', 'bar', 'box']",False
nintendo switch,television room,television room,"['television room', 'house', 'room', 'jar', 'trap']",True
orange,pantry room,room,"['can', 'room', 'oven', 'pantry room', 'family room']",False
ottoman,living room,living room,"['bar', 'living room', 'bedroom', 'childs room', 'exercise room']",True
padlock,lobby,cellar,"['lobby', 'cellar', 'bar', 'cellar', 'jar']",False
paint bottle set,playroom,playroom,"['freezer', 'room', 'playroom', 'jar', 'basement']",True
paint maker,utility room,utility room,"['utility room', 'family room', 'cellar', 'basement', 'basement']",True
painting,living room,living room,"['bar', 'dumpster', 'closet', 'living room', 'exercise room']",True
pan,kitchen,kitchen,"['house', 'room', 'kitchen', 'jar', 'room']",True
paper bag,garage,box,"['house', 'box', 'family room', 'oven', 'garage']",False
papertowelroll,bathroom,utility room,"['utility room', 'closet', 'jar', 'pantry room', 'bathroom']",False
parchment sheet,dining room,room,"['attic', 'room', 'oven', 'dining room', 'freezer']",False
peach,television room,jar,"['jar', 'television room', 'room', 'family room', 'trap']",False
pear,utility room,family room,"['utility room', 'oven', 'oven', 'family room', 'house']",False
peg and hammer toy,playroom,playroom,"['can', 'freezer', 'freezer', 'playroom', 'jar']",True
pen,bedroom,bedroom,"['cellar', 'box', 'bedroom', 'exercise room', 'house']",True
pencil,bedroom,room,"['bedroom', 'room', 'can', 'childs room', 'bathroom']",False
pencil case,television room,box,"['jar', 'television room', 'can', 'box', 'dumpster']",False
peppermint,pantry room,jar,"['pantry room', 'freezer', 'jar', 'box', 'oven']",False
peppershaker,kitchen,kitchen,"['childs room', 'kitchen', 'room', 'family room', 'living room']",True
pepsi can pack,garage,family room,"['freezer', 'garage', 'family room', 'dumpster', 'jar']",False
pet food supplement,pantry room,pantry room,"['cellar', 'cellar', 'family room', 'pantry room', 'jar']",True
phillips screwdriver,exercise room,room,"['room', 'exercise room', 'room', 'family room', 'can']",False
phone armband case,pantry room,room,"['dumpster', 'room', 'pantry room', 'basement', 'freezer']",False
phone stand,home office,home office,"['cellar', 'home office', 'room', 'freezer', 'family room']",True
picture frame,utility room,bar,"['utility room', 'bar', 'cellar', 'dumpster', 'freezer']",False
pie,oven,dining room,"['living room', 'bedroom', 'oven', 'dining room', 'storage room']",False
pillow,bedroom,bedroom,"['bedroom', 'box', 'house', 'attic', 'bar']",True
pitcher base,home office,bar,"['jar', 'home office', 'bar', 'house', 'cellar']",False
plant,living room,living room,"['oven', 'freezer', 'cellar', 'can', 'living room']",True
plant container,garage,family room,"['attic', 'garage', 'family room', 'bar', 'house']",False
plant saucer,living room,living room,"['freezer', 'living room', 'dumpster', 'dumpster', 'box']",True
plate,living room,bar,"['bar', 'box', 'oven', 'family room', 'living room']",False
plum,pantry room,pantry room,"['trap', 'cellar', 'box', 'pantry room', 'cellar']",True
plunger,bathroom,bathroom,"['bathroom', 'dining room', 'basement', 'house', 'trap']",True
portable speaker,playroom,playroom,"['house', 'playroom', 'attic', 'oven', 'oven']",True
poster,bedroom,family room,"['corridor', 'bedroom', 'family room', 'dining room', 'freezer']",False
pot,kitchen,kitchen,"['bathroom', 'freezer', 'storage room', 'room', 'kitchen']",True
potato,kitchen,kitchen,"['kitchen', 'playroom', 'exercise room', 'childs room', 'living room']",True
potted meat can,corridor,freezer,"['freezer', 'box', 'can', 'corridor', 'jar']",False
power drill,kitchen,room,"['jar', 'house', 'can', 'kitchen', 'room']",False
pressure cooker,home office,family room,"['family room', 'dumpster', 'home office', 'can', 'trap']",False
pudding box,utility room,freezer,"['utility room', 'freezer', 'box', 'oven', 'attic']",False
puzzle game,utility room,utility room,"['jar', 'freezer', 'dumpster', 'freezer', 'utility room']",True
racquetball,playroom,playroom,"['playroom', 'family room', 'house', 'freezer', 'basement']",True
ramekin,playroom,bar,"['can', 'playroom', 'cellar', 'bar', 'trap']",False
remote control,exercise room,family room,"['exercise room', 'family room', 'jar', 'jar', 'bar']",False
remotecontrol,bedroom,family room,"['basement', 'dining room', 'family room', 'bedroom', 'childs room']",False
rmal laminator,living room,living room,"['can', 'can', 'living room', 'bar', 'freezer']",True
roast,oven,oven,"['bathroom', 'childs room', 'trap', 'closet', 'oven']",True
roomdecor,living room,living room,"['cellar', 'living room', 'dumpster', 'box', 'pantry room']",True
router,bedroom,family room,"['dumpster', 'family room', 'basement', 'bedroom', 'house']",False
rubiks cube,home office,home office,"['bar', 'can', 'basement', 'cellar', 'home office']",True
safe,living room,living room,"['living room', 'box', 'jar', 'attic', 'attic']",True
salt shaker,bathroom,family room,"['box', 'family room', 'bathroom', 'dumpster', 'trap']",False
saltshaker,kitchen,kitchen,"['kitchen', 'dining room', 'freezer', 'lobby', 'house']",True
sanitary pads,bedroom,bedroom,"['trap', 'bedroom', 'can', 'jar', 'trap']",True
saucer,kitchen,kitchen,"['dumpster', 'kitchen', 'oven', 'freezer', 'dumpster']",True
saute pan,kitchen,kitchen,"['freezer', 'box', 'dumpster', 'room', 'kitchen']",True
scissors,exercise room,house,"['exercise room', 'house', 'cellar', 'freezer', 'dumpster']",False
scrubbrush,bathroom,bathroom,"['television room', 'storage room', 'room', 'bathroom', 'basement']",True
set-top box,bathroom,house,"['bathroom', 'oven', 'house', 'trap', 'trap']",False
shelf,bedroom,bedroom,"['basement', 'basement', 'trap', 'bedroom', 'television room']",True
shelvingunit,bedroom,playroom,"['playroom', 'television room', 'bar', 'attic', 'bedroom']",False
shoe,closet,closet,"['closet', 'oven', 'bar', 'cellar', 'cellar']",True
shoe box,corridor,corridor,"['bar', 'freezer', 'oven', 'corridor', 'can']",True
showercurtain,bathroom,bathroom,"['cellar', 'bathroom', 'room', 'pantry room', 'storage room']",True
showerdoor,bathroom,bathroom,"['kitchen', 'corridor', 'television room', 'kitchen', 'bathroom']",True
showerglass,bathroom,bathroom,"['basement', 'dining room', 'attic', 'bathroom', 'dining room']",True
showerhead,bathroom,bathroom,"['dining room', 'bar', 'exercise room', 'bathroom', 'cellar']",True
shredder,pantry room,room,"['room', 'trap', 'can', 'pantry room', 'freezer']",False
sidetable,living room,living room,"['oven', 'family room', 'living room', 'corridor', 'closet']",True
sidewalk chalk,living room,family room,"['dumpster', 'family room', 'can', 'living room', 'oven']",False
sink,kitchen,kitchen,"['childs room', 'kitchen', 'closet', 'television room', 'attic']",True
sinkbasin,bathroom,bathroom,"['garage', 'lobby', 'family room', 'bathroom', 'freezer']",True
skillet,exercise room,house,"['house', 'exercise room', 'box', 'trap', 'trap']",False
skillet lid,closet,closet,"['can', 'attic', 'room', 'closet', 'box']",True
skin care product,corridor,bar,"['bar', 'trap', 'corridor', 'cellar', 'freezer']",False
skin moisturizer,bathroom,bathroom,"['house', 'house', 'bathroom', 'box', 'attic']",True
snack cake,lobby,box,"['oven', 'trap', 'box', 'room', 'lobby']",False
snack dispenser,utility room,house,"['house', 'utility room', 'trap', 'basement', 'freezer']",False
soap dish,childs room,house,"['childs room', 'can', 'basement', 'box', 'house']",False
soap dispenser,kitchen,kitchen,"['kitchen', 'trap', 'box', 'attic', 'cellar']",True
soapbar,bathroom,bathroom,"['closet', 'closet', 'dining room', 'television room', 'bathroom']",True
soapbottle,bathroom,bathroom,"['freezer', 'basement', 'pantry room', 'childs room', 'bathroom']",True
sofa,living room,living room,"['living room', 'utility room', 'basement', 'bathroom', 'basement']",True
softball,bedroom,family room,"['oven', 'freezer', 'family room', 'freezer', 'bedroom']",False
software cd,dining room,attic,"['dining room', 'bar', 'jar', 'attic', 'bar']",False
sorting toy,playroom,playroom,"['freezer', 'house', 'dumpster', 'playroom', 'bar']",True
sparkling water,garage,freezer,"['jar', 'freezer', 'garage', 'jar', 'cellar']",False
spatula,kitchen,kitchen,"['family room', 'house', 'house', 'kitchen', 'cellar']",True
spider,cellar,cellar,"['pantry room', 'bedroom', 'television room', 'cellar', 'bedroom']",True
sponge,utility room,utility room,"['utility room', 'basement', 'family room', 'attic', 'box']",True
sponge dish,pantry room,pantry room,"['bar', 'pantry room', 'basement', 'trap', 'can']",True
spoon,kitchen,kitchen,"['bar', 'kitchen', 'attic', 'room', 'can']",True
spoon rest,bathroom,family room,"['bathroom', 'dumpster', 'family room', 'oven', 'attic']",False
spraybottle,bathroom,bathroom,"['jar', 'freezer', 'jar', 'dumpster', 'bathroom']",True
stacking cups,closet,family room,"['family room', 'closet', 'trap', 'room', 'basement']",False
stand mixer,pantry room,pantry room,"['bar', 'pantry room', 'attic', 'family room', 'bar']",True
statue,kitchen,dining room,"['can', 'kitchen', 'can', 'house', 'dining room']",False
steak,freezer,freezer,"['freezer', 'television room', 'exercise room', 'family room', 'childs room']",True
stool,kitchen,none,"['house', 'childs room', 'kitchen', 'corridor', 'trap']",False
storage bin,closet,basement,"['closet', 'basement', 'cellar', 'trap', 'basement']",False
stoveburner,kitchen,kitchen,"['bar', 'closet', 'kitchen', 'box', 'freezer']",True
stoveknob,kitchen,kitchen,"['bathroom', 'garage', 'pantry room', 'kitchen', 'pantry room']",True
strawberry,storage room,freezer,"['freezer', 'can', 'oven', 'storage room', 'freezer']",False
string lights,bedroom,bedroom,"['dumpster', 'oven', 'freezer', 'dumpster', 'bedroom']",True
stuffed toy,kitchen,family room,"['house', 'family room', 'cellar', 'house', 'kitchen']",False
sugar box,utility room,utility room,"['utility room', 'freezer', 'family room', 'basement', 'room']",True
sugar sprinkles,dining room,room,"['room', 'family room', 'bar', 'dining room', 'oven']",False
surface saver ring,exercise room,bar,"['basement', 'exercise room', 'bar', 'trap', 'oven']",False
sushi mat,exercise room,room,"['attic', 'room', 'trap', 'exercise room', 'jar']",False
table,bedroom,playroom,"['jar', 'playroom', 'bedroom', 'pantry room', 'home office']",False
table lamp,dining room,dining room,"['dumpster', 'box', 'jar', 'attic', 'dining room']",True
tablet,pantry room,box,"['freezer', 'house', 'freezer', 'box', 'pantry room']",False
tablet holder,dining room,dining room,"['jar', 'jar', 'house', 'dining room', 'can']",True
tablet stand,playroom,playroom,"['dumpster', 'jar', 'freezer', 'freezer', 'playroom']",True
tabletopdecor,bedroom,bedroom,"['exercise room', 'dumpster', 'bar', 'exercise room', 'bedroom']",True
tampon,childs room,house,"['house', 'attic', 'can', 'can', 'childs room']",False
