object,correct_location,predicted_location,location_choices,correct_prediction
chocolate milk pods,television room,freezer,"['freezer', 'room', 'freezer', 'television room', 'attic']",False
chocolate powder,television room,bar,"['television room', 'house', 'freezer', 'dumpster', 'bar']",False
chopping board,dining room,dining room,"['room', 'dining room', 'freezer', 'can', 'basement']",True
clamp,childs room,attic,"['attic', 'attic', 'childs room', 'jar', 'trap']",False
clay,bathroom,family room,"['freezer', 'freezer', 'family room', 'bathroom', 'bar']",False
clock,home office,home office,"['dumpster', 'room', 'home office', 'house', 'trap']",True
cloth,bathroom,bathroom,"['family room', 'box', 'bathroom', 'dumpster', 'freezer']",True
coffee beans,closet,box,"['trap', 'attic', 'oven', 'box', 'closet']",False
coffee pods,playroom,cellar,"['jar', 'basement', 'playroom', 'cellar', 'freezer']",False
coffeemachine,kitchen,kitchen,"['kitchen', 'childs room', 'lobby', 'pantry room', 'jar']",True
coffeemaker,bathroom,bar,"['bathroom', 'freezer', 'freezer', 'room', 'bar']",False
coffeetable,living room,living room,"['corridor', 'living room', 'utility room', 'house', 'kitchen']",True
colored wood blocks,bathroom,family room,"['cellar', 'bathroom', 'attic', 'box', 'family room']",False
condiment,home office,"kitchen (not listed, but implied as most suitable), however since it's not in the list: room","['family room', 'dumpster', 'home office', 'trap', 'room']",False
countertop,bedroom,utility room,"['corridor', 'oven', 'bedroom', 'oven', 'utility room']",False
cracker box,bathroom,room,"['bathroom', 'can', 'attic', 'room', 'trap']",False
crayon,exercise room,room,"['exercise room', 'freezer', 'house', 'room', 'trap']",False
creditcard,bedroom,bedroom,"['bedroom', 'bathroom', 'house', 'lobby', 'pantry room']",True
cube storage box,lobby,basement,"['basement', 'bar', 'freezer', 'lobby', 'cellar']",False
cup,kitchen,kitchen,"['can', 'kitchen', 'trap', 'trap', 'family room']",True
curtain,bedroom,bedroom,"['pantry room', 'bedroom', 'bar', 'dining room', 'house']",True
cushion,television room,television room,"['room', 'attic', 'room', 'house', 'television room']",True
desk,living room,childs room,"['living room', 'attic', 'childs room', 'jar', 'house']",False
desk caddy,childs room,family room,"['childs room', 'box', 'jar', 'attic', 'family room']",False
desklamp,living room,living room,"['living room', 'playroom', 'dining room', 'jar', 'utility room']",True
desktop,bedroom,bedroom,"['cellar', 'dumpster', 'bar', 'bedroom', 'corridor']",True
diaper pack,home office,home office,"['attic', 'can', 'home office', 'can', 'trap']",True
dietary supplement,storage room,jar,"['cellar', 'jar', 'basement', 'storage room', 'cellar']",False
diningtable,kitchen,kitchen,"['closet', 'pantry room', 'freezer', 'kitchen', 'corridor']",True
dish drainer,exercise room,family room,"['cellar', 'exercise room', 'trap', 'family room', 'freezer']",False
dishsponge,bathroom,bathroom,"['lobby', 'bathroom', 'house', 'box', 'house']",True
dishtowel,lobby,"none of the given locations seem suitable for a dishtowel. however, if i must choose from the provided list, i would say: lobby","['oven', 'cellar', 'dumpster', 'cellar', 'lobby']",False
dishwasher,kitchen,kitchen,"['dining room', 'playroom', 'kitchen', 'playroom', 'childs room']",True
dispensing closure,television room,basement,"['bar', 'dumpster', 'basement', 'cellar', 'television room']",False
dog bowl,garage,garage,"['trap', 'garage', 'attic', 'freezer', 'oven']",True
dog chew toy,corridor,room,"['room', 'attic', 'attic', 'basement', 'corridor']",False
dogbed,bedroom,bedroom,"['garage', 'bedroom', 'pantry room', 'storage room', 'exercise room']",True
dollhouse toy,bathroom,family room,"['jar', 'freezer', 'family room', 'bathroom', 'jar']",False
donut,television room,television room,"['jar', 'dumpster', 'television room', 'can', 'cellar']",True
drawer,kitchen,storage room,"['basement', 'trap', 'storage room', 'kitchen', 'room']",False
dresser,bedroom,bedroom,"['utility room', 'utility room', 'house', 'bedroom', 'oven']",True
drink,can,family room,"['house', 'closet', 'home office', 'can', 'family room']",False
drink coaster,playroom,room,"['jar', 'cellar', 'room', 'playroom', 'house']",False
dryer,basement,basement,"['basement', 'playroom', 'closet', 'living room', 'television room']",True
duct tape,dining room,room,"['dining room', 'dumpster', 'room', 'room', 'trap']",False
dumbbell,bedroom,basement,"['basement', 'attic', 'freezer', 'oven', 'bedroom']",False
dumbbell rack,living room,room,"['living room', 'room', 'room', 'can', 'can']",False
dustpan and brush,television room,house,"['television room', 'house', 'freezer', 'can', 'can']",False
dutch oven,kitchen,kitchen,"['family room', 'house', 'box', 'freezer', 'kitchen']",True
easter basket,bedroom,family room,"['family room', 'attic', 'dumpster', 'bedroom', 'jar']",False
egg,kitchen,kitchen,"['oven', 'television room', 'kitchen', 'house', 'oven']",True
electric heater,pantry room,family room,"['pantry room', 'family room', 'oven', 'room', 'trap']",False
electric toothbrush,closet,"bathroom (not listed, but implied as most suitable), however since it's not an option: closet","['bar', 'closet', 'house', 'cellar', 'freezer']",False
electronic adapter,kitchen,kitchen,"['can', 'oven', 'trap', 'kitchen', 'dumpster']",True
electronic cable,living room,living room,"['bar', 'can', 'living room', 'can', 'oven']",True
face moisturizer,television room,family room,"['freezer', 'can', 'oven', 'family room', 'television room']",False
faucet,bathroom,bathroom,"['dining room', 'bathroom', 'attic', 'bar', 'room']",True
file sorter,living room,living room,"['house', 'house', 'living room', 'freezer', 'house']",True
fingerpaint,kitchen,house,"['house', 'kitchen', 'attic', 'freezer', 'trap']",False
fitness tracker wristband,utility room,house,"['house', 'utility room', 'basement', 'basement', 'can']",False
flashlight,childs room,house,"['jar', 'dumpster', 'house', 'dumpster', 'childs room']",False
flat screwdriver,exercise room,box,"['trap', 'exercise room', 'basement', 'oven', 'box']",False
floor,living room,basement,"['living room', 'dumpster', 'television room', 'exercise room', 'basement']",False
floorlamp,living room,living room,"['trap', 'lobby', 'living room', 'attic', 'box']",True
foam brick,television room,television room,"['television room', 'can', 'bar', 'trap', 'can']",True
folder,corridor,box,"['family room', 'dumpster', 'box', 'basement', 'corridor']",False
fondant,playroom,box,"['basement', 'playroom', 'trap', 'family room', 'box']",False
footstool,bathroom,dining room,"['dining room', 'basement', 'cellar', 'storage room', 'bathroom']",False
fork,kitchen,kitchen,"['house', 'kitchen', 'house', 'box', 'basement']",True
fridge,kitchen,kitchen,"['home office', 'basement', 'bathroom', 'kitchen', 'basement']",True
fruit snack,utility room,jar,"['utility room', 'jar', 'cellar', 'can', 'family room']",False
furnace,basement,basement,"['box', 'bathroom', 'basement', 'living room', 'jar']",True
garbage,dumpster,dumpster,"['box', 'basement', 'dumpster', 'living room', 'can']",True
garbagebag,kitchen,dumpster,"['dumpster', 'attic', 'kitchen', 'utility room', 'dining room']",False
garbagecan,kitchen,kitchen,"['room', 'room', 'exercise room', 'garage', 'kitchen']",True
gelatin box,closet,freezer,"['dumpster', 'closet', 'house', 'freezer', 'bar']",False
glove,childs room,childs room,"['childs room', 'jar', 'attic', 'attic', 'dumpster']",True
golf ball,living room,living room,"['family room', 'oven', 'trap', 'freezer', 'living room']",True
graphics card,living room,cellar,"['living room', 'oven', 'cellar', 'house', 'family room']",False
hair color,playroom,box,"['trap', 'playroom', 'box', 'cellar', 'freezer']",False
hair conditioner,dining room,bathroom,"['cellar', 'attic', 'dining room', 'dumpster', 'house']",False
hair dryer,bathroom,bathroom,"['can', 'trap', 'family room', 'bathroom', 'family room']",True
hair straightener,exercise room,box,"['can', 'basement', 'exercise room', 'oven', 'box']",False
hammer,home office,home office,"['cellar', 'oven', 'home office', 'dumpster', 'family room']",True
hand bell,dining room,dining room,"['can', 'trap', 'room', 'dining room', 'cellar']",True
handbag,exercise room,family room,"['box', 'jar', 'exercise room', 'attic', 'family room']",False
handtowel,bathroom,bathroom,"['can', 'utility room', 'bar', 'house', 'bathroom']",True
handtowelholder,bathroom,bathroom,"['childs room', 'living room', 'bathroom', 'trap', 'dumpster']",True
hard drive,bedroom,bedroom,"['bar', 'freezer', 'jar', 'can', 'bedroom']",True
hard drive case,living room,living room,"['jar', 'living room', 'dumpster', 'trap', 'freezer']",True
hat,closet,closet,"['room', 'house', 'closet', 'trap', 'room']",True
headphone,playroom,playroom,"['can', 'basement', 'jar', 'playroom', 'box']",True
heavy duty gloves,lobby,room,"['lobby', 'room', 'can', 'can', 'dumpster']",False
heavy master chef can,corridor,can,"['house', 'corridor', 'attic', 'can', 'house']",False
helmet,childs room,cellar,"['childs room', 'room', 'family room', 'cellar', 'dumpster']",False
herring fillets,bedroom,can,"['basement', 'can', 'room', 'bedroom', 'can']",False
honey dipper,bedroom,cellar,"['bar', 'bedroom', 'trap', 'cellar', 'oven']",False
houseplant,living room,living room,"['house', 'corridor', 'lobby', 'living room', 'pantry room']",True
incontinence pads,garage,room,"['garage', 'oven', 'room', 'dumpster', 'can']",False
ink cartridge,childs room,house,"['oven', 'house', 'oven', 'childs room', 'dumpster']",False
instant camera,television room,family room,"['trap', 'trap', 'basement', 'family room', 'television room']",False
invitation card,lobby,lobby,"['cellar', 'family room', 'lobby', 'jar', 'box']",True
jar,closet,cellar,"['freezer', 'closet', 'jar', 'cellar', 'oven']",False
jenga,playroom,playroom,"['room', 'cellar', 'playroom', 'house', 'room']",True
jewelry box,exercise room,attic,"['freezer', 'box', 'can', 'attic', 'exercise room']",False
kettle,kitchen,kitchen,"['house', 'corridor', 'attic', 'kitchen', 'home office']",True
keyboard,home office,home office,"['can', 'family room', 'room', 'home office', 'can']",True
keychain,living room,garage,"['television room', 'house', 'exercise room', 'garage', 'living room']",False
knife,kitchen,kitchen,"['can', 'dumpster', 'oven', 'kitchen', 'bar']",True
knife block,bedroom,"kitchen (not listed, but implied as the most suitable location for a knife block) 

since kitchen is not an option, i'll choose the location that is closest to a kitchen or has a high likelihood of having a kitchen area:
basement (assuming it might have a kitchenette or be near a kitchen area)","['oven', 'family room', 'cellar', 'bedroom', 'basement']",False
labeling tape,bedroom,cellar,"['oven', 'family room', 'cellar', 'bedroom', 'can']",False
ladle,kitchen,kitchen,"['dining room', 'kitchen', 'jar', 'garage', 'home office']",True
lamp,bedroom,bedroom,"['bedroom', 'basement', 'bar', 'cellar', 'attic']",True
lantern,bathroom,house,"['bathroom', 'can', 'house', 'jar', 'house']",False
laptop,bedroom,bedroom,"['bedroom', 'jar', 'trap', 'attic', 'jar']",True
laptop cover,childs room,box,"['cellar', 'box', 'oven', 'dumpster', 'childs room']",False
laptop stand,childs room,childs room,"['trap', 'trap', 'trap', 'childs room', 'freezer']",True
large marker,dining room,box,"['box', 'can', 'dining room', 'trap', 'bar']",False
laundry box,home office,house,"['box', 'home office', 'house', 'jar', 'house']",False
laundryhamper,bedroom,bedroom,"['exercise room', 'garage', 'attic', 'bedroom', 'kitchen']",True
laxative,dining room,box,"['trap', 'box', 'can', 'box', 'dining room']",False
lego duplo,dining room,house,"['bar', 'house', 'cellar', 'dining room', 'can']",False
lemon,exercise room,bar,"['exercise room', 'bar', 'bar', 'room', 'family room']",False
letter holder,storage room,box,"['oven', 'box', 'cellar', 'basement', 'storage room']",False
lettuce,kitchen,kitchen,"['can', 'oven', 'basement', 'lobby', 'kitchen']",True
light bulb,bedroom,basement,"['bedroom', 'trap', 'basement', 'freezer', 'can']",False
lightswitch,living room,living room,"['dining room', 'living room', 'family room', 'garage', 'home office']",True
lime squeezer,storage room,jar,"['oven', 'attic', 'jar', 'storage room', 'trap']",False
lipstick,home office,bar,"['house', 'home office', 'trap', 'bar', 'attic']",False
lunch bag,storage room,storage room,"['oven', 'bar', 'bar', 'storage room', 'jar']",True
lunch box,dining room,dining room,"['can', 'jar', 'cellar', 'basement', 'dining room']",True
magnifying glass,utility room,family room,"['family room', 'utility room', 'room', 'room', 'room']",False
mascara,lobby,room,"['dumpster', 'trap', 'lobby', 'room', 'bar']",False
master chef can,television room,freezer,"['freezer', 'television room', 'attic', 'attic', 'room']",False
measuring tape,playroom,basement,"['playroom', 'basement', 'trap', 'cellar', 'jar']",False
medicine,home office,home office,"['dumpster', 'jar', 'trap', 'home office', 'family room']",True
microwave,kitchen,kitchen,"['bedroom', 'oven', 'family room', 'exercise room', 'kitchen']",True
milk fror,kitchen,freezer,"['family room', 'can', 'freezer', 'kitchen', 'dumpster']",False
mini soccer ball,garage,garage,"['basement', 'garage', 'jar', 'dumpster', 'box']",True
mirror,living room,living room,"['living room', 'family room', 'cellar', 'oven', 'basement']",True
morboard,closet,attic,"['house', 'family room', 'attic', 'oven', 'closet']",False
mouse,living room,living room,"['freezer', 'room', 'living room', 'jar', 'jar']",True
mouse pad,living room,living room,"['trap', 'living room', 'basement', 'family room', 'trap']",True
movie dvd,playroom,playroom,"['playroom', 'bar', 'jar', 'oven', 'oven']",True
mug,kitchen,kitchen,"['cellar', 'room', 'kitchen', 'basement', 'house']",True
multiport hub,corridor,room,"['house', 'corridor', 'room', 'dumpster', 'dumpster']",False
mustard bottle,lobby,bar,"['oven', 'cellar', 'lobby', 'bar', 'bar']",False
neck rest,living room,living room,"['can', 'box', 'living room', 'house', 'oven']",True
newspaper,living room,home office,"['living room', 'dining room', 'basement', 'home office', 'box']",False
nine hole peg test,bedroom,box,"['bedroom', 'dumpster', 'box', 'family room', 'bar']",False
nintendo switch,television room,television room,"['house', 'jar', 'room', 'television room', 'trap']",True
orange,pantry room,pantry room,"['pantry room', 'can', 'family room', 'room', 'oven']",True
ottoman,living room,living room,"['bar', 'exercise room', 'living room', 'bedroom', 'childs room']",True
padlock,lobby,cellar,"['bar', 'cellar', 'lobby', 'cellar', 'jar']",False
paint bottle set,playroom,basement,"['freezer', 'room', 'playroom', 'jar', 'basement']",False
paint maker,utility room,utility room,"['basement', 'utility room', 'basement', 'family room', 'cellar']",True
painting,living room,living room,"['closet', 'exercise room', 'dumpster', 'living room', 'bar']",True
pan,kitchen,kitchen,"['kitchen', 'jar', 'room', 'house', 'room']",True
paper bag,garage,garage,"['family room', 'garage', 'house', 'box', 'oven']",True
papertowelroll,bathroom,utility room,"['jar', 'bathroom', 'closet', 'utility room', 'pantry room']",False
parchment sheet,dining room,dining room,"['room', 'freezer', 'attic', 'oven', 'dining room']",True
peach,television room,room,"['jar', 'family room', 'trap', 'television room', 'room']",False
pear,utility room,family room,"['oven', 'utility room', 'oven', 'family room', 'house']",False
peg and hammer toy,playroom,playroom,"['playroom', 'freezer', 'can', 'jar', 'freezer']",True
pen,bedroom,box,"['house', 'exercise room', 'box', 'bedroom', 'cellar']",False
pencil,bedroom,childs room,"['childs room', 'room', 'bathroom', 'bedroom', 'can']",False
pencil case,television room,box,"['can', 'television room', 'box', 'dumpster', 'jar']",False
peppermint,pantry room,jar,"['freezer', 'jar', 'pantry room', 'oven', 'box']",False
peppershaker,kitchen,kitchen,"['living room', 'room', 'kitchen', 'childs room', 'family room']",True
pepsi can pack,garage,garage,"['jar', 'garage', 'dumpster', 'family room', 'freezer']",True
pet food supplement,pantry room,pantry room,"['cellar', 'pantry room', 'jar', 'family room', 'cellar']",True
phillips screwdriver,exercise room,room,"['room', 'family room', 'exercise room', 'can', 'room']",False
phone armband case,pantry room,room,"['basement', 'room', 'pantry room', 'freezer', 'dumpster']",False
phone stand,home office,home office,"['freezer', 'room', 'cellar', 'family room', 'home office']",True
picture frame,utility room,bar,"['bar', 'cellar', 'utility room', 'dumpster', 'freezer']",False
pie,oven,dining room,"['oven', 'storage room', 'dining room', 'bedroom', 'living room']",False
pillow,bedroom,bedroom,"['house', 'box', 'attic', 'bar', 'bedroom']",True
pitcher base,home office,bar,"['jar', 'house', 'home office', 'cellar', 'bar']",False
plant,living room,living room,"['oven', 'living room', 'freezer', 'can', 'cellar']",True
plant container,garage,family room,"['family room', 'garage', 'bar', 'house', 'attic']",False
plant saucer,living room,living room,"['box', 'living room', 'dumpster', 'dumpster', 'freezer']",True
plate,living room,"kitchen (not listed, but implied as most suitable), however since it's not an option: bar","['box', 'oven', 'family room', 'living room', 'bar']",False
plum,pantry room,pantry room,"['cellar', 'box', 'pantry room', 'trap', 'cellar']",True
plunger,bathroom,bathroom,"['dining room', 'house', 'basement', 'trap', 'bathroom']",True
portable speaker,playroom,playroom,"['oven', 'playroom', 'attic', 'house', 'oven']",True
poster,bedroom,family room,"['family room', 'bedroom', 'freezer', 'dining room', 'corridor']",False
pot,kitchen,kitchen,"['storage room', 'freezer', 'bathroom', 'room', 'kitchen']",True
potato,kitchen,kitchen,"['exercise room', 'playroom', 'kitchen', 'living room', 'childs room']",True
potted meat can,corridor,can,"['corridor', 'box', 'freezer', 'jar', 'can']",False
power drill,kitchen,room,"['house', 'room', 'jar', 'can', 'kitchen']",False
pressure cooker,home office,"kitchen (not listed, but implied as most suitable), however since it's not an option: home office","['dumpster', 'can', 'trap', 'family room', 'home office']",False
pudding box,utility room,freezer,"['attic', 'utility room', 'freezer', 'oven', 'box']",False
puzzle game,utility room,"none of the provided options seem suitable. however, if i must choose from the list, i would say: utility room","['utility room', 'dumpster', 'freezer', 'jar', 'freezer']",False
racquetball,playroom,playroom,"['house', 'playroom', 'freezer', 'basement', 'family room']",True
ramekin,playroom,bar,"['cellar', 'bar', 'playroom', 'can', 'trap']",False
remote control,exercise room,family room,"['jar', 'bar', 'family room', 'jar', 'exercise room']",False
remotecontrol,bedroom,family room,"['bedroom', 'basement', 'dining room', 'family room', 'childs room']",False
rmal laminator,living room,living room,"['can', 'freezer', 'bar', 'can', 'living room']",True
roast,oven,oven,"['bathroom', 'closet', 'trap', 'oven', 'childs room']",True
roomdecor,living room,living room,"['dumpster', 'living room', 'cellar', 'box', 'pantry room']",True
router,bedroom,house,"['dumpster', 'house', 'basement', 'family room', 'bedroom']",False
rubiks cube,home office,home office,"['home office', 'basement', 'can', 'bar', 'cellar']",True
safe,living room,attic,"['attic', 'jar', 'living room', 'box', 'attic']",False
salt shaker,bathroom,family room,"['box', 'family room', 'bathroom', 'dumpster', 'trap']",False
saltshaker,kitchen,kitchen,"['kitchen', 'dining room', 'lobby', 'house', 'freezer']",True
sanitary pads,bedroom,bedroom,"['trap', 'can', 'trap', 'bedroom', 'jar']",True
saucer,kitchen,kitchen,"['dumpster', 'kitchen', 'dumpster', 'oven', 'freezer']",True
saute pan,kitchen,kitchen,"['room', 'dumpster', 'box', 'freezer', 'kitchen']",True
scissors,exercise room,house,"['cellar', 'exercise room', 'dumpster', 'freezer', 'house']",False
scrubbrush,bathroom,bathroom,"['basement', 'television room', 'room', 'bathroom', 'storage room']",True
set-top box,bathroom,house,"['bathroom', 'trap', 'oven', 'trap', 'house']",False
shelf,bedroom,television room,"['basement', 'bedroom', 'television room', 'basement', 'trap']",False
shelvingunit,bedroom,attic,"['playroom', 'television room', 'bar', 'attic', 'bedroom']",False
shoe,closet,closet,"['closet', 'oven', 'cellar', 'bar', 'cellar']",True
shoe box,corridor,corridor,"['bar', 'corridor', 'can', 'freezer', 'oven']",True
showercurtain,bathroom,bathroom,"['storage room', 'pantry room', 'bathroom', 'cellar', 'room']",True
showerdoor,bathroom,bathroom,"['kitchen', 'bathroom', 'kitchen', 'corridor', 'television room']",True
showerglass,bathroom,bathroom,"['dining room', 'basement', 'bathroom', 'attic', 'dining room']",True
showerhead,bathroom,bathroom,"['cellar', 'dining room', 'bar', 'exercise room', 'bathroom']",True
shredder,pantry room,room,"['pantry room', 'freezer', 'trap', 'room', 'can']",False
sidetable,living room,living room,"['oven', 'living room', 'closet', 'family room', 'corridor']",True
sidewalk chalk,living room,family room,"['can', 'living room', 'oven', 'family room', 'dumpster']",False
sink,kitchen,kitchen,"['attic', 'television room', 'childs room', 'closet', 'kitchen']",True
sinkbasin,bathroom,bathroom,"['freezer', 'garage', 'family room', 'lobby', 'bathroom']",True
skillet,exercise room,house,"['house', 'trap', 'trap', 'box', 'exercise room']",False
skillet lid,closet,"kitchen (not listed, but implied as most suitable), however since it's not in the list: closet","['attic', 'box', 'room', 'closet', 'can']",False
skin care product,corridor,bar,"['bar', 'corridor', 'cellar', 'trap', 'freezer']",False
skin moisturizer,bathroom,bathroom,"['attic', 'box', 'bathroom', 'house', 'house']",True
snack cake,lobby,room,"['trap', 'box', 'oven', 'room', 'lobby']",False
snack dispenser,utility room,utility room,"['freezer', 'utility room', 'house', 'trap', 'basement']",True
soap dish,childs room,"bathroom (not listed, but implied as most suitable), however since it's not in the list: box","['childs room', 'box', 'house', 'basement', 'can']",False
soap dispenser,kitchen,kitchen,"['attic', 'trap', 'cellar', 'box', 'kitchen']",True
soapbar,bathroom,bathroom,"['bathroom', 'television room', 'closet', 'dining room', 'closet']",True
soapbottle,bathroom,bathroom,"['freezer', 'childs room', 'basement', 'bathroom', 'pantry room']",True
sofa,living room,living room,"['basement', 'utility room', 'basement', 'bathroom', 'living room']",True
softball,bedroom,family room,"['family room', 'bedroom', 'freezer', 'freezer', 'oven']",False
software cd,dining room,attic,"['bar', 'dining room', 'jar', 'bar', 'attic']",False
sorting toy,playroom,playroom,"['freezer', 'house', 'playroom', 'dumpster', 'bar']",True
sparkling water,garage,cellar,"['garage', 'jar', 'freezer', 'cellar', 'jar']",False
spatula,kitchen,kitchen,"['house', 'house', 'cellar', 'kitchen', 'family room']",True
spider,cellar,cellar,"['pantry room', 'bedroom', 'cellar', 'bedroom', 'television room']",True
sponge,utility room,utility room,"['basement', 'attic', 'box', 'utility room', 'family room']",True
sponge dish,pantry room,pantry room,"['basement', 'trap', 'pantry room', 'can', 'bar']",True
spoon,kitchen,kitchen,"['kitchen', 'bar', 'can', 'room', 'attic']",True
spoon rest,bathroom,kitchen,"['family room', 'oven', 'dumpster', 'attic', 'bathroom']",False
spraybottle,bathroom,bathroom,"['dumpster', 'jar', 'bathroom', 'jar', 'freezer']",True
stacking cups,closet,closet,"['family room', 'closet', 'basement', 'trap', 'room']",True
stand mixer,pantry room,pantry room,"['attic', 'bar', 'family room', 'bar', 'pantry room']",True
statue,kitchen,dining room,"['house', 'kitchen', 'can', 'dining room', 'can']",False
steak,freezer,freezer,"['childs room', 'television room', 'exercise room', 'family room', 'freezer']",True
stool,kitchen,corridor,"['kitchen', 'house', 'trap', 'corridor', 'childs room']",False
storage bin,closet,basement,"['basement', 'closet', 'basement', 'cellar', 'trap']",False
stoveburner,kitchen,kitchen,"['box', 'bar', 'kitchen', 'freezer', 'closet']",True
stoveknob,kitchen,kitchen,"['garage', 'kitchen', 'bathroom', 'pantry room', 'pantry room']",True
strawberry,storage room,freezer,"['can', 'freezer', 'freezer', 'oven', 'storage room']",False
string lights,bedroom,bedroom,"['freezer', 'dumpster', 'oven', 'bedroom', 'dumpster']",True
stuffed toy,kitchen,family room,"['family room', 'cellar', 'kitchen', 'house', 'house']",False
sugar box,utility room,"kitchen (not listed, but implied as most suitable), however since it's not an option: room","['utility room', 'basement', 'room', 'freezer', 'family room']",False
sugar sprinkles,dining room,dining room,"['oven', 'room', 'dining room', 'family room', 'bar']",True
