object,correct_location,predicted_location,location_choices,correct_prediction
curtain,bedroom,bedroom,"['bar', 'dining room', 'pantry room', 'bedroom', 'house']",True
cushion,television room,television room,"['television room', 'attic', 'house', 'room', 'room']",True
desk,living room,childs room,"['childs room', 'living room', 'jar', 'attic', 'house']",False
desk caddy,childs room,family room,"['family room', 'jar', 'attic', 'box', 'childs room']",False
desklamp,living room,living room,"['living room', 'playroom', 'jar', 'dining room', 'utility room']",True
desktop,bedroom,bedroom,"['dumpster', 'corridor', 'bar', 'cellar', 'bedroom']",True
diaper pack,home office,home office,"['trap', 'can', 'can', 'home office', 'attic']",True
dietary supplement,storage room,storage room,"['cellar', 'jar', 'basement', 'cellar', 'storage room']",True
diningtable,kitchen,kitchen,"['freezer', 'closet', 'corridor', 'pantry room', 'kitchen']",True
dish drainer,exercise room,family room,"['freezer', 'exercise room', 'cellar', 'trap', 'family room']",False
dishsponge,bathroom,house,"['box', 'bathroom', 'lobby', 'house', 'house']",False
dishtowel,lobby,cellar,"['oven', 'dumpster', 'cellar', 'cellar', 'lobby']",False
dishwasher,kitchen,kitchen,"['playroom', 'dining room', 'childs room', 'playroom', 'kitchen']",True
dispensing closure,television room,cellar,"['basement', 'television room', 'dumpster', 'bar', 'cellar']",False
dog bowl,garage,garage,"['oven', 'trap', 'freezer', 'attic', 'garage']",True
dog chew toy,corridor,room,"['basement', 'room', 'corridor', 'attic', 'attic']",False
dogbed,bedroom,bedroom,"['garage', 'storage room', 'pantry room', 'exercise room', 'bedroom']",True
dollhouse toy,bathroom,family room,"['jar', 'jar', 'family room', 'bathroom', 'freezer']",False
donut,television room,television room,"['dumpster', 'cellar', 'can', 'jar', 'television room']",True
drawer,kitchen,room,"['storage room', 'kitchen', 'trap', 'basement', 'room']",False
dresser,bedroom,bedroom,"['utility room', 'oven', 'house', 'bedroom', 'utility room']",True
drink,can,family room,"['house', 'home office', 'closet', 'can', 'family room']",False
drink coaster,playroom,room,"['room', 'playroom', 'cellar', 'jar', 'house']",False
dryer,basement,basement,"['television room', 'closet', 'living room', 'basement', 'playroom']",True
duct tape,dining room,room,"['dumpster', 'room', 'room', 'dining room', 'trap']",False
dumbbell,bedroom,basement,"['attic', 'oven', 'bedroom', 'basement', 'freezer']",False
dumbbell rack,living room,room,"['room', 'living room', 'can', 'can', 'room']",False
dustpan and brush,television room,house,"['house', 'can', 'can', 'television room', 'freezer']",False
dutch oven,kitchen,kitchen,"['freezer', 'house', 'family room', 'kitchen', 'box']",True
easter basket,bedroom,family room,"['family room', 'bedroom', 'dumpster', 'jar', 'attic']",False
egg,kitchen,kitchen,"['kitchen', 'television room', 'oven', 'house', 'oven']",True
electric heater,pantry room,room,"['trap', 'room', 'oven', 'family room', 'pantry room']",False
electric toothbrush,closet,closet,"['closet', 'house', 'freezer', 'cellar', 'bar']",True
electronic adapter,kitchen,kitchen,"['dumpster', 'kitchen', 'trap', 'oven', 'can']",True
electronic cable,living room,living room,"['can', 'oven', 'can', 'bar', 'living room']",True
face moisturizer,television room,family room,"['freezer', 'can', 'oven', 'family room', 'television room']",False
faucet,bathroom,bathroom,"['bathroom', 'attic', 'room', 'dining room', 'bar']",True
file sorter,living room,living room,"['house', 'living room', 'freezer', 'house', 'house']",True
fingerpaint,kitchen,kitchen,"['freezer', 'kitchen', 'attic', 'house', 'trap']",True
fitness tracker wristband,utility room,house,"['utility room', 'basement', 'can', 'basement', 'house']",False
flashlight,childs room,house,"['house', 'dumpster', 'dumpster', 'childs room', 'jar']",False
flat screwdriver,exercise room,box,"['exercise room', 'trap', 'box', 'oven', 'basement']",False
floor,living room,living room,"['exercise room', 'basement', 'television room', 'dumpster', 'living room']",True
floorlamp,living room,living room,"['lobby', 'attic', 'trap', 'living room', 'box']",True
foam brick,television room,television room,"['television room', 'can', 'trap', 'bar', 'can']",True
folder,corridor,box,"['dumpster', 'corridor', 'box', 'basement', 'family room']",False
fondant,playroom,box,"['basement', 'playroom', 'family room', 'trap', 'box']",False
footstool,bathroom,dining room,"['bathroom', 'cellar', 'basement', 'storage room', 'dining room']",False
fork,kitchen,kitchen,"['kitchen', 'house', 'basement', 'house', 'box']",True
fridge,kitchen,kitchen,"['basement', 'basement', 'bathroom', 'kitchen', 'home office']",True
fruit snack,utility room,jar,"['jar', 'utility room', 'can', 'cellar', 'family room']",False
furnace,basement,basement,"['jar', 'living room', 'bathroom', 'basement', 'box']",True
garbage,dumpster,dumpster,"['basement', 'dumpster', 'living room', 'box', 'can']",True
garbagebag,kitchen,dumpster,"['kitchen', 'attic', 'dumpster', 'dining room', 'utility room']",False
garbagecan,kitchen,kitchen,"['room', 'exercise room', 'garage', 'room', 'kitchen']",True
gelatin box,closet,freezer,"['freezer', 'dumpster', 'closet', 'bar', 'house']",False
glove,childs room,none,"['childs room', 'attic', 'attic', 'dumpster', 'jar']",False
golf ball,living room,living room,"['trap', 'living room', 'oven', 'family room', 'freezer']",True
graphics card,living room,living room,"['cellar', 'living room', 'oven', 'house', 'family room']",True
hair color,playroom,box,"['cellar', 'playroom', 'freezer', 'trap', 'box']",False
hair conditioner,dining room,house,"['cellar', 'house', 'dining room', 'attic', 'dumpster']",False
hair dryer,bathroom,bathroom,"['family room', 'bathroom', 'can', 'trap', 'family room']",True
hair straightener,exercise room,box,"['can', 'oven', 'exercise room', 'basement', 'box']",False
hammer,home office,cellar,"['home office', 'cellar', 'family room', 'dumpster', 'oven']",False
hand bell,dining room,dining room,"['cellar', 'dining room', 'trap', 'room', 'can']",True
handbag,exercise room,family room,"['family room', 'exercise room', 'jar', 'attic', 'box']",False
handtowel,bathroom,bathroom,"['house', 'can', 'utility room', 'bathroom', 'bar']",True
handtowelholder,bathroom,bathroom,"['living room', 'childs room', 'dumpster', 'bathroom', 'trap']",True
hard drive,bedroom,bedroom,"['can', 'bedroom', 'bar', 'freezer', 'jar']",True
hard drive case,living room,living room,"['dumpster', 'trap', 'freezer', 'jar', 'living room']",True
hat,closet,closet,"['closet', 'room', 'house', 'room', 'trap']",True
headphone,playroom,box,"['jar', 'playroom', 'box', 'can', 'basement']",False
heavy duty gloves,lobby,room,"['room', 'lobby', 'can', 'dumpster', 'can']",False
heavy master chef can,corridor,can,"['can', 'house', 'attic', 'corridor', 'house']",False
helmet,childs room,childs room,"['dumpster', 'childs room', 'room', 'cellar', 'family room']",True
herring fillets,bedroom,can,"['basement', 'bedroom', 'can', 'can', 'room']",False
honey dipper,bedroom,bar,"['bar', 'oven', 'cellar', 'trap', 'bedroom']",False
houseplant,living room,living room,"['house', 'living room', 'corridor', 'lobby', 'pantry room']",True
incontinence pads,garage,room,"['garage', 'oven', 'dumpster', 'room', 'can']",False
ink cartridge,childs room,house,"['oven', 'dumpster', 'childs room', 'house', 'oven']",False
instant camera,television room,family room,"['basement', 'trap', 'television room', 'trap', 'family room']",False
invitation card,lobby,box,"['family room', 'cellar', 'lobby', 'box', 'jar']",False
jar,closet,cellar,"['cellar', 'freezer', 'oven', 'jar', 'closet']",False
jenga,playroom,playroom,"['house', 'cellar', 'room', 'playroom', 'room']",True
jewelry box,exercise room,box,"['exercise room', 'freezer', 'box', 'attic', 'can']",False
kettle,kitchen,kitchen,"['corridor', 'kitchen', 'home office', 'attic', 'house']",True
keyboard,home office,home office,"['home office', 'room', 'can', 'can', 'family room']",True
keychain,living room,garage,"['exercise room', 'television room', 'house', 'garage', 'living room']",False
knife,kitchen,kitchen,"['dumpster', 'oven', 'bar', 'kitchen', 'can']",True
knife block,bedroom,family room,"['bedroom', 'family room', 'basement', 'cellar', 'oven']",False
labeling tape,bedroom,cellar,"['family room', 'bedroom', 'cellar', 'can', 'oven']",False
ladle,kitchen,kitchen,"['kitchen', 'home office', 'garage', 'dining room', 'jar']",True
lamp,bedroom,bedroom,"['bar', 'basement', 'cellar', 'bedroom', 'attic']",True
lantern,bathroom,house,"['bathroom', 'house', 'can', 'jar', 'house']",False
laptop,bedroom,bedroom,"['jar', 'jar', 'trap', 'bedroom', 'attic']",True
laptop cover,childs room,childs room,"['box', 'oven', 'dumpster', 'childs room', 'cellar']",True
laptop stand,childs room,freezer,"['freezer', 'trap', 'childs room', 'trap', 'trap']",False
large marker,dining room,box,"['can', 'dining room', 'trap', 'bar', 'box']",False
laundry box,home office,house,"['house', 'home office', 'box', 'jar', 'house']",False
laundryhamper,bedroom,bedroom,"['exercise room', 'garage', 'bedroom', 'kitchen', 'attic']",True
laxative,dining room,box,"['trap', 'box', 'can', 'box', 'dining room']",False
lego duplo,dining room,house,"['can', 'dining room', 'cellar', 'bar', 'house']",False
lemon,exercise room,bar,"['room', 'family room', 'bar', 'exercise room', 'bar']",False
letter holder,storage room,box,"['oven', 'basement', 'cellar', 'storage room', 'box']",False
lettuce,kitchen,kitchen,"['basement', 'lobby', 'oven', 'can', 'kitchen']",True
light bulb,bedroom,bedroom,"['basement', 'bedroom', 'can', 'trap', 'freezer']",True
lightswitch,living room,living room,"['garage', 'living room', 'home office', 'family room', 'dining room']",True
lime squeezer,storage room,storage room,"['oven', 'storage room', 'attic', 'jar', 'trap']",True
lipstick,home office,house,"['trap', 'house', 'attic', 'home office', 'bar']",False
lunch bag,storage room,storage room,"['bar', 'oven', 'storage room', 'bar', 'jar']",True
lunch box,dining room,dining room,"['can', 'dining room', 'jar', 'cellar', 'basement']",True
magnifying glass,utility room,family room,"['family room', 'utility room', 'room', 'room', 'room']",False
mascara,lobby,room,"['room', 'lobby', 'trap', 'dumpster', 'bar']",False
master chef can,television room,freezer,"['television room', 'attic', 'freezer', 'room', 'attic']",False
measuring tape,playroom,basement,"['playroom', 'cellar', 'trap', 'jar', 'basement']",False
medicine,home office,home office,"['home office', 'family room', 'trap', 'jar', 'dumpster']",True
microwave,kitchen,kitchen,"['exercise room', 'kitchen', 'family room', 'bedroom', 'oven']",True
milk fror,kitchen,kitchen,"['freezer', 'family room', 'dumpster', 'kitchen', 'can']",True
mini soccer ball,garage,box,"['dumpster', 'jar', 'garage', 'box', 'basement']",False
mirror,living room,living room,"['oven', 'cellar', 'living room', 'basement', 'family room']",True
morboard,closet,closet,"['family room', 'house', 'closet', 'oven', 'attic']",True
mouse,living room,living room,"['freezer', 'jar', 'living room', 'jar', 'room']",True
mouse pad,living room,family room,"['basement', 'family room', 'living room', 'trap', 'trap']",False
movie dvd,playroom,playroom,"['oven', 'playroom', 'oven', 'bar', 'jar']",True
mug,kitchen,kitchen,"['kitchen', 'cellar', 'room', 'house', 'basement']",True
multiport hub,corridor,room,"['dumpster', 'house', 'dumpster', 'room', 'corridor']",False
mustard bottle,lobby,bar,"['oven', 'cellar', 'bar', 'bar', 'lobby']",False
neck rest,living room,living room,"['can', 'living room', 'house', 'oven', 'box']",True
newspaper,living room,living room,"['box', 'basement', 'dining room', 'living room', 'home office']",True
nine hole peg test,bedroom,family room,"['bedroom', 'bar', 'dumpster', 'family room', 'box']",False
nintendo switch,television room,television room,"['trap', 'jar', 'house', 'television room', 'room']",True
orange,pantry room,pantry room,"['family room', 'pantry room', 'can', 'oven', 'room']",True
ottoman,living room,living room,"['exercise room', 'childs room', 'living room', 'bar', 'bedroom']",True
padlock,lobby,cellar,"['jar', 'lobby', 'cellar', 'bar', 'cellar']",False
paint bottle set,playroom,basement,"['room', 'playroom', 'freezer', 'basement', 'jar']",False
paint maker,utility room,utility room,"['cellar', 'utility room', 'basement', 'basement', 'family room']",True
painting,living room,living room,"['closet', 'bar', 'exercise room', 'living room', 'dumpster']",True
pan,kitchen,kitchen,"['room', 'room', 'house', 'jar', 'kitchen']",True
paper bag,garage,box,"['garage', 'box', 'oven', 'family room', 'house']",False
papertowelroll,bathroom,utility room,"['closet', 'pantry room', 'utility room', 'bathroom', 'jar']",False
parchment sheet,dining room,room,"['attic', 'oven', 'room', 'dining room', 'freezer']",False
peach,television room,jar,"['room', 'television room', 'family room', 'trap', 'jar']",False
pear,utility room,family room,"['utility room', 'oven', 'house', 'family room', 'oven']",False
peg and hammer toy,playroom,playroom,"['freezer', 'playroom', 'can', 'freezer', 'jar']",True
pen,bedroom,box,"['cellar', 'bedroom', 'box', 'house', 'exercise room']",False
pencil,bedroom,room,"['bedroom', 'bathroom', 'room', 'can', 'childs room']",False
pencil case,television room,box,"['box', 'dumpster', 'television room', 'jar', 'can']",False
peppermint,pantry room,jar,"['pantry room', 'box', 'freezer', 'jar', 'oven']",False
peppershaker,kitchen,kitchen,"['living room', 'room', 'kitchen', 'childs room', 'family room']",True
pepsi can pack,garage,family room,"['family room', 'garage', 'freezer', 'dumpster', 'jar']",False
pet food supplement,pantry room,pantry room,"['family room', 'cellar', 'cellar', 'pantry room', 'jar']",True
phillips screwdriver,exercise room,can,"['room', 'family room', 'room', 'exercise room', 'can']",False
phone armband case,pantry room,room,"['freezer', 'room', 'basement', 'dumpster', 'pantry room']",False
phone stand,home office,home office,"['family room', 'cellar', 'freezer', 'room', 'home office']",True
picture frame,utility room,bar,"['freezer', 'utility room', 'bar', 'cellar', 'dumpster']",False
pie,oven,dining room,"['living room', 'oven', 'dining room', 'bedroom', 'storage room']",False
pillow,bedroom,bedroom,"['bar', 'box', 'house', 'attic', 'bedroom']",True
pitcher base,home office,bar,"['home office', 'bar', 'jar', 'cellar', 'house']",False
plant,living room,living room,"['freezer', 'living room', 'cellar', 'oven', 'can']",True
plant container,garage,family room,"['attic', 'garage', 'family room', 'house', 'bar']",False
plant saucer,living room,living room,"['dumpster', 'box', 'freezer', 'living room', 'dumpster']",True
plate,living room,box,"['box', 'bar', 'oven', 'living room', 'family room']",False
plum,pantry room,pantry room,"['cellar', 'box', 'pantry room', 'trap', 'cellar']",True
plunger,bathroom,bathroom,"['bathroom', 'dining room', 'basement', 'trap', 'house']",True
portable speaker,playroom,playroom,"['oven', 'attic', 'oven', 'house', 'playroom']",True
poster,bedroom,family room,"['dining room', 'bedroom', 'family room', 'freezer', 'corridor']",False
pot,kitchen,kitchen,"['freezer', 'bathroom', 'storage room', 'kitchen', 'room']",True
potato,kitchen,kitchen,"['kitchen', 'playroom', 'childs room', 'living room', 'exercise room']",True
potted meat can,corridor,can,"['jar', 'box', 'can', 'corridor', 'freezer']",False
power drill,kitchen,house,"['jar', 'house', 'can', 'kitchen', 'room']",False
pressure cooker,home office,can,"['home office', 'family room', 'trap', 'dumpster', 'can']",False
pudding box,utility room,box,"['attic', 'box', 'freezer', 'oven', 'utility room']",False
puzzle game,utility room,utility room,"['dumpster', 'freezer', 'freezer', 'utility room', 'jar']",True
racquetball,playroom,playroom,"['house', 'freezer', 'playroom', 'family room', 'basement']",True
ramekin,playroom,bar,"['bar', 'playroom', 'cellar', 'can', 'trap']",False
remote control,exercise room,family room,"['family room', 'bar', 'jar', 'jar', 'exercise room']",False
remotecontrol,bedroom,family room,"['bedroom', 'family room', 'basement', 'dining room', 'childs room']",False
rmal laminator,living room,living room,"['can', 'can', 'living room', 'freezer', 'bar']",True
roast,oven,oven,"['closet', 'oven', 'childs room', 'bathroom', 'trap']",True
roomdecor,living room,living room,"['cellar', 'dumpster', 'box', 'living room', 'pantry room']",True
router,bedroom,house,"['house', 'bedroom', 'basement', 'family room', 'dumpster']",False
rubiks cube,home office,home office,"['basement', 'home office', 'cellar', 'can', 'bar']",True
safe,living room,attic,"['box', 'jar', 'attic', 'attic', 'living room']",False
salt shaker,bathroom,box,"['family room', 'bathroom', 'box', 'trap', 'dumpster']",False
saltshaker,kitchen,kitchen,"['kitchen', 'house', 'lobby', 'freezer', 'dining room']",True
sanitary pads,bedroom,bedroom,"['bedroom', 'can', 'trap', 'trap', 'jar']",True
saucer,kitchen,kitchen,"['freezer', 'dumpster', 'oven', 'kitchen', 'dumpster']",True
saute pan,kitchen,kitchen,"['box', 'kitchen', 'dumpster', 'room', 'freezer']",True
scissors,exercise room,house,"['freezer', 'dumpster', 'house', 'cellar', 'exercise room']",False
scrubbrush,bathroom,bathroom,"['storage room', 'bathroom', 'basement', 'room', 'television room']",True
set-top box,bathroom,house,"['oven', 'trap', 'trap', 'house', 'bathroom']",False
shelf,bedroom,bedroom,"['television room', 'bedroom', 'basement', 'trap', 'basement']",True
shelvingunit,bedroom,bedroom,"['television room', 'bar', 'playroom', 'attic', 'bedroom']",True
shoe,closet,closet,"['cellar', 'closet', 'oven', 'cellar', 'bar']",True
shoe box,corridor,corridor,"['oven', 'can', 'corridor', 'bar', 'freezer']",True
showercurtain,bathroom,bathroom,"['room', 'bathroom', 'pantry room', 'cellar', 'storage room']",True
showerdoor,bathroom,bathroom,"['television room', 'corridor', 'kitchen', 'bathroom', 'kitchen']",True
showerglass,bathroom,bathroom,"['dining room', 'basement', 'bathroom', 'attic', 'dining room']",True
showerhead,bathroom,bathroom,"['bathroom', 'bar', 'dining room', 'exercise room', 'cellar']",True
shredder,pantry room,room,"['pantry room', 'trap', 'freezer', 'can', 'room']",False
sidetable,living room,living room,"['family room', 'closet', 'living room', 'oven', 'corridor']",True
sidewalk chalk,living room,can,"['family room', 'can', 'living room', 'oven', 'dumpster']",False
sink,kitchen,kitchen,"['television room', 'kitchen', 'closet', 'attic', 'childs room']",True
sinkbasin,bathroom,bathroom,"['lobby', 'garage', 'family room', 'freezer', 'bathroom']",True
skillet,exercise room,house,"['trap', 'box', 'house', 'trap', 'exercise room']",False
skillet lid,closet,box,"['closet', 'attic', 'room', 'box', 'can']",False
skin care product,corridor,corridor,"['corridor', 'freezer', 'cellar', 'bar', 'trap']",True
skin moisturizer,bathroom,bathroom,"['bathroom', 'house', 'house', 'attic', 'box']",True
snack cake,lobby,box,"['box', 'room', 'oven', 'trap', 'lobby']",False
snack dispenser,utility room,house,"['basement', 'house', 'freezer', 'utility room', 'trap']",False
soap dish,childs room,house,"['basement', 'childs room', 'can', 'house', 'box']",False
soap dispenser,kitchen,kitchen,"['attic', 'trap', 'kitchen', 'cellar', 'box']",True
soapbar,bathroom,bathroom,"['closet', 'television room', 'dining room', 'closet', 'bathroom']",True
soapbottle,bathroom,bathroom,"['childs room', 'basement', 'bathroom', 'pantry room', 'freezer']",True
sofa,living room,living room,"['basement', 'bathroom', 'basement', 'utility room', 'living room']",True
softball,bedroom,family room,"['freezer', 'family room', 'bedroom', 'oven', 'freezer']",False
software cd,dining room,dining room,"['attic', 'dining room', 'jar', 'bar', 'bar']",True
sorting toy,playroom,playroom,"['house', 'playroom', 'bar', 'freezer', 'dumpster']",True
sparkling water,garage,jar,"['freezer', 'jar', 'jar', 'cellar', 'garage']",False
spatula,kitchen,kitchen,"['cellar', 'house', 'house', 'family room', 'kitchen']",True
spider,cellar,cellar,"['bedroom', 'television room', 'cellar', 'bedroom', 'pantry room']",True
sponge,utility room,utility room,"['utility room', 'family room', 'basement', 'attic', 'box']",True
sponge dish,pantry room,pantry room,"['pantry room', 'bar', 'basement', 'can', 'trap']",True
spoon,kitchen,kitchen,"['kitchen', 'bar', 'room', 'can', 'attic']",True
spoon rest,bathroom,family room,"['bathroom', 'dumpster', 'oven', 'family room', 'attic']",False
spraybottle,bathroom,bathroom,"['bathroom', 'jar', 'jar', 'freezer', 'dumpster']",True
stacking cups,closet,room,"['basement', 'trap', 'room', 'family room', 'closet']",False
stand mixer,pantry room,pantry room,"['attic', 'family room', 'bar', 'pantry room', 'bar']",True
statue,kitchen,dining room,"['house', 'can', 'kitchen', 'dining room', 'can']",False
steak,freezer,freezer,"['childs room', 'exercise room', 'family room', 'freezer', 'television room']",True
stool,kitchen,kitchen,"['childs room', 'kitchen', 'trap', 'house', 'corridor']",True
storage bin,closet,basement,"['basement', 'closet', 'cellar', 'basement', 'trap']",False
stoveburner,kitchen,kitchen,"['kitchen', 'bar', 'freezer', 'box', 'closet']",True
stoveknob,kitchen,kitchen,"['bathroom', 'kitchen', 'garage', 'pantry room', 'pantry room']",True
strawberry,storage room,freezer,"['freezer', 'storage room', 'freezer', 'can', 'oven']",False
string lights,bedroom,bedroom,"['dumpster', 'oven', 'freezer', 'bedroom', 'dumpster']",True
stuffed toy,kitchen,family room,"['cellar', 'family room', 'house', 'house', 'kitchen']",False
sugar box,utility room,room,"['family room', 'basement', 'room', 'freezer', 'utility room']",False
sugar sprinkles,dining room,room,"['room', 'family room', 'dining room', 'bar', 'oven']",False
surface saver ring,exercise room,trap,"['trap', 'basement', 'oven', 'exercise room', 'bar']",False
sushi mat,exercise room,room,"['exercise room', 'trap', 'attic', 'room', 'jar']",False
table,bedroom,home office,"['playroom', 'bedroom', 'pantry room', 'home office', 'jar']",False
table lamp,dining room,dining room,"['box', 'attic', 'dining room', 'jar', 'dumpster']",True
tablet,pantry room,house,"['house', 'freezer', 'box', 'freezer', 'pantry room']",False
tablet holder,dining room,dining room,"['house', 'jar', 'can', 'dining room', 'jar']",True
tablet stand,playroom,playroom,"['dumpster', 'jar', 'freezer', 'playroom', 'freezer']",True
tabletopdecor,bedroom,bar,"['bedroom', 'bar', 'exercise room', 'dumpster', 'exercise room']",False
tampon,childs room,house,"['childs room', 'can', 'attic', 'can', 'house']",False
tea can pack,kitchen,kitchen,"['attic', 'house', 'basement', 'kitchen', 'box']",True
