object,pred_locations,rr,ap@1,ap@3,ap@5,rec@1,rec@3,rec@5
electric heater,"['living room', 'bedroom', 'bathroom', 'hallway']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
electric toothbrush,"['bathroom sink', 'medicine cabinet', 'bathroom drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
electronic adapter,"['desk drawer', 'nightstand drawer', 'living room shelf', 'under the couch', 'kitchen counter', 'junk drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
electronic cable,"['living room', 'bedroom', 'office', 'behind furniture', 'under furniture', 'in a drawer', 'in a box', 'kitchen.']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
face moisturizer,"['bathroom counter', 'bathroom cabinet', 'bedroom nightstand', 'dresser drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
faucet,"['kitchen sink', 'bathroom sink', 'laundry room sink', 'bathtub', 'outdoor hose bib']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
file sorter,"['desk', 'home office', 'bookshelf', 'filing cabinet']",0.5,0.0,0.5,0.5,0.0,0.058823529411764705,0.058823529411764705
fingerpaint,"['art table', ""child's room"", 'playroom', 'craft closet', 'storage bin']",0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.058823529411764705,0.058823529411764705
fitness tracker wristband,"['nightstand', 'bedroom floor', 'bathroom counter', 'dresser', 'living room coffee table', 'kitchen counter']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
flashlight,"['drawer', 'junk drawer', 'toolbox', 'nightstand', 'car', 'garage']",0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
flat screwdriver,"['toolbox', 'junk drawer', 'kitchen drawer', 'garage', 'shed']",0.25,0.0,0.0,0.25,0.0,0.0,0.058823529411764705
floor,"['living room', 'bedroom', 'kitchen', 'bathroom', 'hallway', 'entryway']",1.0,1.0,1.0,1.0,0.25,0.75,1.0
floorlamp,"['living room', 'bedroom', 'office', 'hallway']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
foam brick,"['toy bin', 'garage', 'storage closet', 'basement', 'attic']",0.5,0.0,0.5,0.5,0.0,0.058823529411764705,0.058823529411764705
folder,"['desk', 'bookshelf', 'filing cabinet', 'drawer', 'briefcase', 'countertop']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
fondant,"['kitchen pantry', 'kitchen counter', 'baking supplies drawer/cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
footstool,"['living room', 'bedroom', 'family room']",0.5,0.0,0.5,0.5,0.0,0.5,0.5
fork,"['kitchen drawer', 'dishwasher', 'kitchen counter', 'dining table', 'cutlery tray']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
fridge,"['kitchen', 'garage', 'basement']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
fruit snack,"['kitchen counter', 'pantry', 'cupboard', ""child's bedroom"", 'living room table', 'backpack']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
furnace,"['basement', 'utility room', 'garage', 'attic']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
garbage,"['kitchen trash can', 'bathroom trash can', 'bedroom trash can', 'office trash can', 'diaper pail']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
garbagebag,"['kitchen', 'bathroom', 'bedroom', 'garage', 'under the sink']",1.0,1.0,0.75,0.75,0.5,0.5,0.5
garbagecan,"['kitchen', 'bathroom', 'office', 'bedroom', 'garage']",1.0,1.0,1.0,0.9166666666666666,0.25,0.5,0.75
gelatin box,"['refrigerator', 'pantry', 'cupboard']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
glove,"['coat closet', 'entryway', 'laundry basket', 'bedroom', 'living room', 'junk drawer']",0.25,0.0,0.0,0.325,0.0,0.0,0.11764705882352941
golf ball,"['living room', 'garage', 'bedroom', 'office', 'basement']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
graphics card,"['computer desk', 'home office', 'living room entertainment center', 'bedroom desk']",0.5,0.0,0.5,0.5,0.0,0.058823529411764705,0.058823529411764705
hair color,"['bathroom cabinet', 'bedroom drawer', 'linen closet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
hair conditioner,"['bathroom sink', 'shower/tub', 'medicine cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
hair dryer,"['bathroom', 'bedroom', 'linen closet']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
hair straightener,"['bathroom counter', 'bedroom dresser', 'bathroom drawer', 'linen closet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
hammer,"['garage', 'toolbox', 'shed', 'basement', 'workshop']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
hand bell,"['nightstand', 'entryway table', 'shelf', 'drawer', 'kitchen counter']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
handbag,"['bedroom', 'hallway', 'living room', 'kitchen', 'bathroom']",1.0,1.0,0.8333333333333333,0.6041666666666666,0.058823529411764705,0.11764705882352941,0.23529411764705882
handtowel,"['bathroom sink', 'kitchen sink', 'near stove']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
handtowelholder,"['bathroom', 'kitchen']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
hard drive,"['desk drawer', 'computer desk', 'bookshelf', 'storage box', 'closet shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard drive case,"['desk drawer', 'bookshelf', 'computer desk', 'storage box', 'closet shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
hat,"['coat closet', 'entryway table', 'bedroom', 'hook by the door', 'living room shelf']",0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.058823529411764705,0.058823529411764705
headphone,"['bedroom', 'living room', 'office/study', 'kitchen', 'bathroom']",1.0,1.0,1.0,0.6875,0.058823529411764705,0.11764705882352941,0.23529411764705882
heavy duty gloves,"['garage', 'shed', 'utility closet', 'under the kitchen sink', 'cleaning supply caddy']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
heavy master chef can,"['pantry', 'cupboard', 'shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
helmet,"['garage', 'entryway', 'closet', 'bedroom', 'living room']",1.0,1.0,0.8333333333333333,0.6041666666666666,0.058823529411764705,0.11764705882352941,0.23529411764705882
herring fillets,"['refrigerator', 'freezer', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
honey dipper,"['kitchen counter', 'pantry', 'honey jar', 'drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
houseplant,"['living room', 'bedroom', 'kitchen', 'bathroom', 'hallway', 'dining room']",1.0,1.0,1.0,1.0,0.25,0.75,1.0
incontinence pads,"['bathroom cabinet', 'under the bed', 'bedside table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
ink cartridge,"['desk drawer', 'printer', 'office shelf', 'supply closet', 'junk drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
instant camera,"['living room', 'bedroom', 'desk', 'coffee table', 'shelf']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
invitation card,"['kitchen counter', 'dining table', 'entryway table', 'mailbox', 'coffee table', 'desk']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
jar,"['kitchen counter', 'pantry', 'refrigerator', 'cupboard', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
jenga,"['living room', 'game closet', 'shelf', 'coffee table']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
jewelry box,"['bedroom dresser', 'bathroom counter', 'nightstand', 'jewelry armoire', 'closet shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
kettle,"['kitchen counter', 'kitchen cupboard', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
keyboard,"['desk', 'table', 'lap', 'shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
keychain,"['entryway table', 'coat rack', 'hook by the door', 'junk drawer', 'purse/bag', 'nightstand']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
knife,"['kitchen counter', 'kitchen drawer', 'knife block', 'dishwasher', 'cutlery tray']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
knife block,"['kitchen counter', 'kitchen drawer', 'knife block holder on countertop']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
labeling tape,"['desk drawer', 'kitchen drawer', 'junk drawer', 'toolbox', 'craft supplies area']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladle,"['kitchen drawer', 'utensil holder', 'next to the stove', 'hanging on a hook']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
lamp,"['nightstand', 'living room table', 'desk', 'bedroom floor', 'entryway table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
lantern,"['living room', 'bedroom', 'dining room', 'patio', 'bookshelf']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
laptop,"['desk', 'coffee table', 'bedroom nightstand', 'kitchen counter', 'sofa']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
laptop cover,"['desk', 'coffee table', 'sofa', 'bedside table', 'bookshelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
laptop stand,"['desk', 'coffee table', 'bedside table', 'kitchen counter', 'home office']",0.2,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
large marker,"['desk drawer', 'art supply box', 'kitchen counter', 'junk drawer', ""child's bedroom floor""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0
laundry box,"['laundry room', 'bedroom', 'bathroom']",0.5,0.0,0.25,0.25,0.0,0.11764705882352941,0.11764705882352941
laundryhamper,"['bedroom', 'bathroom', 'laundry room']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
laxative,"['bathroom cabinet', 'medicine cabinet', 'linen closet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
lego duplo,"[""children's bedroom"", 'living room', 'playroom', 'storage bin/closet']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.11764705882352941,0.11764705882352941
lemon,"['refrigerator', 'fruit bowl', 'countertop', 'kitchen sink', 'compost bin']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
letter holder,"['entryway table', 'desk', 'kitchen counter', 'bookshelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,"['refrigerator', 'countertop', 'sink', 'compost bin']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
light bulb,"['living room ceiling', 'bedroom ceiling', 'kitchen ceiling', 'bathroom ceiling', 'hallway ceiling', 'lamp', 'closet.']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightswitch,"['wall', 'hallway', 'entryway', 'bedroom', 'living room', 'kitchen', 'bathroom']",0.25,0.0,0.0,0.25,0.0,0.0,0.25
lime squeezer,"['kitchen drawer', 'countertop', 'utensil holder']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipstick,"['bathroom counter', 'bedroom dresser', 'purse', 'makeup bag']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
lunch bag,"['kitchen counter', 'refrigerator', 'pantry', 'dining table', 'entryway table', 'car', 'backpack']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
lunch box,"['kitchen counter', 'kitchen table', 'refrigerator', 'pantry', 'backpack', 'car']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
magnifying glass,"['desk drawer', 'bathroom cabinet', 'toolbox', 'bookshelf', 'kitchen drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
mascara,"['bathroom counter', 'bedroom dresser', 'makeup bag']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
master chef can,"['kitchen pantry', 'kitchen cabinet', 'countertop']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
measuring tape,"['toolbox', 'junk drawer', 'kitchen drawer', 'office desk', 'garage workbench']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
medicine,"['bathroom cabinet', 'medicine cabinet', 'nightstand', 'kitchen drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
microwave,"['kitchen counter', 'built-in kitchen cabinet', 'kitchen island']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
